# Each line represents a Chinese character entry with six fields, separated by spaces.
# Fields:
# 1. Character: the Chinese character itself
# 2. Pinyin: the pronunciation of the character (in cases of 多音字, the pronunciation used in the hint is given); capitalized if part of a proper noun (e.g., yī, Shàng).
# 3. Hint: a short phrase or idiom (up to 4 characters) that helps remember or illustrate the character; the character may appear multiple times in the hint
# 4. Frequency: usage frequency from the Jun Da modern Chinese database (numerical; lower = more common)
# 5. HSK level: based on HSK 3.0 standards: numbers 1 through 6 denote HSK1–HSK6; "+" denotes HSK7–9; "n" denotes a non-HSK character
# 6. Character structure: coded number corresponding to the character's structure as sourced from Make Me a Hanzi:
#    1: ⿱ (top-bottom)  
#    2: ⿳ (top-middle-bottom)  
#    3: ⿰ (left-right)  
#    4: ⿲ (left-middle-right)  
#    5: ⿴ (enclosure)  
#    6: ⿵ (bottom enclosure)  
#    7: ⿶ (left enclosure)  
#    8: ⿸ (upper-left enclosure)  
#    9: ⿷ (upper-right enclosure)  
#    10: ⿺ (bottom-left enclosure)  
#    11: ⿹ (bottom-right enclosure)  
#    12: none (simple or single-component character)  
#    13: ⿻ (overlapping components)


井 jǐng 坐井观天 1431 6 13
亚 Yà 亚洲国家 420 4 1
些 xiē 这些年 86 1 1
亡 wáng 死亡 957 6 1
亢 kàng 精神亢奋 3268 n 1
交 jiāo 文化交流 320 2 1
亥 hài 辛亥革命 3179 n 1
亦 yì 反之亦然 886 + 1
产 chǎn 共产主义 159 3 2
亨 Hēng 我叫亨利 2146 n 2
亩 mǔ 一亩田 2360 + 1
享 xiǎng 和我分享 1227 5 2
京 jīng 北京大学 566 1 2
亭 tíng 一座亭子 2002 + 1
亮 liàng 她很漂亮 840 2 2
亲 qīn 母亲节 362 3 1
亵 xiè 亵渎神明 3495 n 5
人 rén 中国人 7 1 12
亿 yì 亿万富翁 1057 2 3
什 shén 什么？ 156 1 3
仁 rén 仁义之心 1360 + 3
仅 jǐn 不仅如此 494 3 3
仆 pú 仆人端茶 1812 + 3
仇 chóu 满腔仇恨 1536 + 3
今 jīn 迄今为止 336 1 1
介 jiè 自我介绍 831 1 1
仍 réng 仍然存在 601 3 3
从 cóng 从头到尾 98 1 3
仑 lún 昆仑山脉 2139 n 1
仓 cāng 货物仓库 1882 6 1
仔 zǐ 仔细检查 1572 5 3
仕 shì 宫廷仕女 3042 n 3
他 tā 他是马云 10 1 3
仗 zhàng 带兵打仗 1712 + 3
付 fù 支付成功 820 3 3
仙 xiān 神仙故事 1255 + 3
代 dài 现代汉语 174 3 3
令 lìng 令人吃惊 378 5 1
以 yǐ 可不可以 23 2 3
仨 sā 仨瓜俩枣 4685 n 3
仪 yí 毕业仪式 1283 6 3
们 men 我们走吧 13 1 3
仰 yǎng 宗教信仰 1368 6 3
仲 zhòng 法院仲裁 1706 + 3
件 jiàn 一件衣服 250 2 3
价 jià 价格上涨 409 3 3
任 rèn 任何时候 186 3 3
份 fèn 哪个省份 784 2 3
仿 fǎng 仿佛 1259 5 3
彷 fǎng variant 3487 n
企 qǐ 国有企业 450 4 1
伊 Yī 伊拉克 761 + 3
伍 wǔ 一支队伍 1472 6 3
伎 jì 狡猾伎俩 3332 n 3
伏 fú 起伏不定 1389 + 3
伐 fá 发展步伐 1810 + 3
休 xiū 休息一下 1082 1 3
众 zhòng 唤起群众 510 3 1
优 yōu 占有优势 774 3 3
伙 huǒ 忠诚伙伴 1047 4 3
会 huì 我会骑马 29 1 1
伞 sǎn 没带雨伞 2202 4 1
伟 wěi 伟大胜利 1107 3 3
传 chuán 传统观点 332 3 3
伤 shāng 伤害别人 660 3 3
伦 lún 伦理问题 970 + 3
伪 wěi 伪造数据 1556 + 3
伯 bó 阿拉伯语 821 + 3
估 gū 准确估计 1326 5 3
伴 bàn 陪伴着我 1298 4 3
伶 líng 聪明伶俐 2906 n 3
伸 shēn 伸出手 1161 5 3
伺 cì 伺候病人 2782 + 3
似 sì 彼此相似 431 3 3
伽 jiā 瑜伽 2532 n 3
珈 jiā variant 5061 n
佃 diàn 佃户农民 3245 n 3
但 dàn 不但而且 95 2 3
位 wèi 一位老师 182 2 3
低 dī 降低成本 592 2 3
住 zhù 长期居住 309 1 3
佐 zuǒ 提供佐证 2081 + 3
佑 yòu 上帝保佑 2775 + 3
体 tǐ 身体健康 149 1 3
何 hé 如何使用 229 3 3
余 yú 业余爱好 729 4 1
佛 fú 仿佛 771 6 3
作 zuò 找份工作 49 1 3
佟 Tóng 佟大为 3180 n 3
你 nǐ 我爱你 32 1 3
佣 yōng 雇佣工人 2546 + 3
佩 pèi 我佩服她 1507 + 3
佬 lǎo 金融大佬 3323 n 3
佯 yáng 佯装无事 3393 n 3
佰 bǎi 壹佰美元 5437 n 3
佳 jiā 最佳时间 1583 6 3
佼 jiǎo 佼佼者 3993 n 3
使 shǐ 充分使用 119 2 3
侃 kǎn 侃侃而谈 3315 + 3
侄 zhí 侄子侄女 2664 n 3
侈 chǐ 奢侈品 3081 + 3
例 lì 举个例子 547 2 3
侍 shì 皇家侍卫 1871 + 3
侏 zhū 一个侏儒 3674 n 3
侗 Dòng 侗族民歌 4406 n 3
供 gōng 提供帮助 550 4 3
依 yī 依我看 568 4 3
侠 xiá 钢铁侠 1216 + 3
侣 lǚ 同居伴侣 2661 + 3
侥 jiǎo 侥幸成功 3359 n 3
侦 zhēn 侦探小说 1479 + 3
侧 cè 右侧车道 1220 6 3
侨 qiáo 海外华侨 2340 + 3
侮 wǔ 侮辱别人 2621 + 3
侯 hóu 诸侯国 1756 n 3
侵 qīn 侵犯版权 1086 6 3
便 biàn 方便面 271 2 3
促 cù 促进健康 1102 4 3
俄 É 俄罗斯 975 + 3
俊 jùn 英俊少年 1847 + 3
俏 qiào 俏皮话 2880 + 3
俐 lì 聪明伶俐 3564 n 3
俗 sú 入乡随俗 1354 4 3
俘 fú 俘虏营地 2057 + 3
俚 lǐ 网络俚语 4358 n 3
保 bǎo 保护环境 266 3 3
俞 Yú 俞伯牙 3251 n 1
信 xìn 颇有信心 176 2 3
俨 yǎn 俨然是… 3559 n 3
俩 liǎ 我们俩去 1574 4 3
俭 jiǎn 勤俭节约 2891 + 3
修 xiū 修改日期 740 3 1
俯 fǔ 俯瞰全城 2261 + 3
俱 jù 俱乐部 1909 5 3
俺 ǎn 俺们走吧 2749 n 3
倍 bèi 大了一倍 1392 4 3
倏 shū 倏然而逝 2796 n 8
倒 dào 倒一杯水 608 2 3
倔 jué 性格倔强 3542 + 3
倘 tǎng 倘若如此 2118 + 3
候 hòu 什么时候 341 1 3
倚 yǐ 请勿倚靠 2620 + 3
借 jiè 找个借口 984 2 3
倡 chàng 提倡环保 2185 5 3
倦 juàn 感到厌倦 2329 + 3
倩 qiàn 美丽倩影 2583 n 3
倪 ní 初露端倪 3257 n 3
债 zhài 偿还债务 1223 6 3
值 zhí 价值观 600 3 3
倾 qīng 政治倾向 1260 6 3
假 jiǎ 半真半假 636 1 3
偌 ruò 偌大规模 3985 n 3
偎 wēi 依偎着他 3656 n 3
偏 piān 种族偏见 1204 6 3
偕 xié 白头偕老 3705 n 3
做 zuò 谁来做饭 246 1 3
停 tíng 停车场 693 2 3
健 jiàn 身体健康 979 2 3
偶 ǒu 偶尔出现 1361 5 3
偷 tōu 抓住小偷 1284 5 3
偿 cháng 赔偿损失 1329 5 3
傀 kuǐ 傀儡 3946 n 3
傅 fù 司机师傅 1887 5 3
傍 bàng 傍晚日落 2558 6 3
傣 Dǎi 傣族村寨 3836 n 3
储 chǔ 黄金储备 1526 6 3
催 cuī 他催促我 2064 + 3
傲 ào 骄傲自满 1960 6 3
傻 shǎ 我是傻瓜 1989 5 3
像 xiàng 他好像是 294 2 3
僚 liáo 官僚主义 2234 + 3
僧 sēng 唐僧取经 2013 + 3
僵 jiāng 关节僵硬 2333 + 3
僻 pì 偏僻地区 2827 + 3
儒 Rú 儒家思想 2006 + 3
儡 lěi 傀儡 3992 n 3
儿 ér 儿子孙子 192 1 3
兀 wù 山势突兀 2859 n 1
允 yǔn 不允许他 1443 6 1
元 yuán 元宵节 370 1 1
兄 xiōng 兄弟姐妹 1089 4 1
充 chōng 充实生活 690 3 1
兆 zhào 预兆不祥 2246 + 13
先 xiān 女士优先 188 1 1
光 guāng 阳光明媚 290 3 1
克 kè 星巴克 262 2 1
免 miǎn 免费下载 755 4 1
兑 duì 兑换外币 2424 + 1
兔 tù 守株待兔 2364 5 8
党 dǎng 共产党 411 6 13
兜 dōu 在衣兜里 2512 + 1
兢 jīng 兢兢业业 3117 + 3
入 rù 进入教室 210 2 12
全 quán 完全不同 124 2 1
八 bā 胡说八道 451 1 12
公 gōng 软件公司 115 2 1
六 liù 六六六顺 478 1 1
兮 xī 脏兮兮 2772 n 1
兰 Lán 兰州拉面 642 + 1
共 gòng 共同努力 330 2 2
关 guān 没关系 127 1 1
兴 xìng 他很高兴 531 1 2
兵 bīng 纸上谈兵 398 4 1
其 qí 其中一个 85 2 1
具 jù 玩具娃娃 391 3 1
典 diǎn 经典例子 1044 2 1
兹 zī 五十赫兹 1781 + 2
养 yǎng 培养人才 760 2 1
兼 jiān 兼职工作 1515 + 1
兽 shòu 宠物兽医 1602 + 1
冀 jì 河北：冀 2550 n 1
内 nèi 范围之内 175 3 13
冈 gāng 走下山冈 2047 + 6
冉 rǎn 冉冉升起 3070 n 13
册 cè 一本手册 1525 5 13
再 zài 下次再见 242 1 1
冒 mào 我感冒了 1222 3 1
冕 miǎn 卫冕冠军 3456 n 1
冗 rǒng 冗长乏味 3642 + 1
写 xiě 一篇写作 448 1 1
军 jūn 加入军队 102 5 1
农 nóng 农作物 465 3 13
冠 guàn 世界冠军 1713 5 1
冢 zhǒng 古冢遗址 2840 n 1
冤 yuān 冤枉我了 2396 + 1
冥 míng 深度冥想 2739 n 2
冬 dōng 冬去春来 1384 2 1
冯 Féng 冯小刚 1719 + 3
冰 bīng 冰山一角 1070 4 3
冲 chōng 发生冲突 702 4 3
决 jué 解决问题 273 3 3
况 kuàng 情况不变 419 3 3
冶 yě 冶炼金属 2792 + 3
冷 lěng 保持冷静 700 1 3
冻 dòng 冻结账户 2127 5 3
净 jìng 洗得干净 1377 1 3
凄 qī 凄凉无助 2352 + 3
准 zhǔn 准备好了 379 1 3
凉 liáng 小心着凉 1581 2 3
凋 diāo 花朵凋谢 3675 n 3
凌 líng 凌晨两点 1731 + 3
减 jiǎn 减少速度 857 4 3
凑 còu 凑合着用 2193 + 3
凛 lǐn 寒风凛冽 3014 n 3
凝 níng 凝视远方 1631 + 3
几 jǐ 现在几点 211 1 3
凡 fán 非凡卓越 1013 6 6
凤 fèng 凤凰 1504 + 6
凫 fú 鸭子凫水 5226 n 1
凭 píng 大学文凭 1410 5 1
凯 kǎi 凯旋门 1447 + 3
凰 huáng 凤凰 2453 + 6
凳 dèng 四脚凳子 2680 + 1
凶 xiōng 杀人凶手 1378 6 7
凸 tū 肚子凸出 2857 + 1
凹 āo 地面凹陷 2862 + 1
出 chū 出去玩 28 1 1
击 jī 攻击敌人 395 5 1
函 hán 数学函数 1950 + 7
凿 záo 开凿运河 2696 + 7
刀 dāo 一把剪刀 1067 3 11
刁 diāo 故意刁难 3635 + 12
刃 rèn 锋利刀刃 2700 n 11
分 fēn 第一部分 79 1 1
切 qiè 一切代价 337 3 3
刊 kān 学术期刊 1241 6 3
刑 xíng 废除死刑 1087 + 3
划 huà 改革计划 522 2 3
列 liè 一系列 500 4 3
刘 Liú 刘德华 751 + 3
则 zé 科学原则 284 4 3
刚 gāng 你刚才说 621 2 3
创 chuàng 创始人 635 3 3
初 chū 初步结果 667 3 3
删 shān 删除文件 2780 + 3
判 pàn 判断能力 719 3 3
刨 bào 用刨刀刨 3623 + 3
利 lì 有利有弊 155 2 3
别 bié 你别怪我 222 1 3
刮 guā 刮风下雨 2350 6 3
到 dào 没看到他 22 1 3
制 zhì 制造电脑 163 3 3
刷 shuā 刷牙洗脸 1824 4 3
券 quàn 政府债券 1481 6 1
刹 shā 猛然刹车 2249 + 3
刺 cì 刺激经济 1058 4 3
刻 kè 刻不容缓 618 2 3
刽 guì 刽子手 3959 n 3
剁 duò 把肉剁碎 4434 n 3
剂 jì 消毒剂 1546 + 3
剃 tì 剃须刀 3289 + 3
削 xiāo 用刀削皮 1794 + 3
前 qián 空前绝后 93 1 1
剑 jiàn 刻舟求剑 869 6 3
剔 tī 他很挑剔 3156 + 3
剖 pōu 解剖学 2484 + 3
剥 bō 剥夺权利 1959 + 3
剧 jù 戏剧演出 909 3 3
剩 shèng 单身剩女 1446 5 3
剪 jiǎn 洗剪吹 2227 5 1
副 fù 一副样子 764 6 3
割 gē 割了草 1665 + 3
剽 piāo 剽窃内容 4386 n 3
剿 jiǎo 敌人围剿 2632 n 3
劈 pī 劈木头 2487 + 1
力 lì 全力以赴 106 2 13
劝 quàn 我劝你去 1562 5 3
办 bàn 没办法 367 2 13
功 gōng 获得成功 452 3 3
加 jiā 参加比赛 166 2 3
务 wù 服务员 245 2 1
劣 liè 优胜劣汰 1902 + 1
动 dòng 动物园 73 1 3
助 zhù 请求帮助 607 2 3
努 nǔ 努力工作 1081 2 1
劫 jié 抢劫银行 1825 + 3
励 lì 鼓励学生 1468 5 3
劲 jìn 使劲敲门 1358 4 3
劳 láo 吃苦耐劳 679 5 1
劾 hé 弹劾总统 3597 n 3
势 shì 占有优势 506 3 1
勃 bó 朝气蓬勃 1533 + 3
勇 yǒng 鼓起勇气 1206 4 1
勉 miǎn 勉强接受 2078 + 10
勋 xūn 荣誉勋章 2349 + 3
勒 lè 巴勒斯坦 966 + 3
勘 kān 石油勘探 2585 + 3
募 mù 募集资金 2657 + 1
勤 qín 勤奋好学 1565 5 3
勺 sháo 用勺子吃 3275 6 11
勾 gōu 暗中勾结 2034 + 11
勿 wù 请勿吸烟 2563 + 11
匀 yún 均匀分布 2692 + 13
包 bāo 包括在内 454 1 11
匆 cōng 不必匆忙 1622 + 13
匈 Xiōng 匈牙利 2503 n 11
匕 bǐ 拔出匕首 3252 n 10
化 huà 文化差异 178 3 3
北 Běi 北京 315 1 3
匙 shi 一串钥匙 2476 + 10
匠 jiàng 一位工匠 2110 + 9
匡 Kuāng 赵匡胤 3260 n 9
匣 xiá 黑匣子 3061 n 9
匪 fěi 受益匪浅 2201 + 9
匮 kuì 信息匮乏 3727 n 9
匹 pǐ 一匹马 1908 5 9
区 qū 地理区域 265 3 9
医 yī 他住医院 482 1 9
匾 biǎn 挂上牌匾 3501 n 9
匿 nì 匿名评论 2804 + 9
十 shí 十有八九 112 1 13
千 qiān 千里马 599 2 1
卅 sà 五卅运动 4090 n 13
升 shēng 上升趋势 837 3 13
昇 shēng variant 7000 n
午 wǔ 下午两点 1004 1 13
卉 huì 花卉展览 3341 + 1
半 bàn 半信半疑 513 1 13
华 huá 新华社 412 3 1
协 xié 达成协议 735 5 3
卑 bēi 自卑感 2059 + 1
卒 zú 身先士卒 2584 + 1
卓 zhuó 卓越成就 1942 + 1
单 dān 太简单了 389 2 1
卖 mài 房产拍卖 974 2 1
南 Nán 南方航空 307 1 1
博 bó 博物馆 965 5 3
卜 bo 萝卜青菜 1979 + 13
卞 Biàn 卞之琳 4534 n 1
占 zhàn 占有优势 737 2 1
卡 kǎ 信用卡 717 2 1
卢 Lú 卢卡斯 1711 n 1
卤 lǔ 卤水鸡蛋 3747 + 1
卦 guà 易经八卦 3119 + 3
卧 wò 卧虎藏龙 1944 5 3
卫 wèi 卫生间 669 3 1
卯 mǎo 子午卯酉 3926 n 3
印 yìn 打印机 640 2 3
危 wēi 远离危险 826 3 1
即 jí 即将开始 293 4 3
却 què 咖啡冷却 287 4 3
卵 luǎn 未受精卵 2008 + 3
卷 juàn 数学考卷 1016 4 1
卸 xiè 卸载货物 2479 + 3
卿 qīng 国务卿 2029 n 5
厂 chǎng 制造工厂 963 3 12
厄 è 驱赶厄运 2407 + 8
厅 tīng 学生餐厅 1217 5 8
历 lì 历史悠久 480 3 8
厉 lì 你很厉害 1339 5 8
压 yā 施加压力 756 3 8
厌 yàn 讨厌死了 1633 5 8
厕 cè 男厕所 2920 6 8
厘 lí 一百厘米 2262 4 8
厚 hòu 深厚友谊 1235 4 8
原 yuán 原来如此 193 2 8
厢 xiāng 二等车厢 2467 + 8
厥 jué 昏厥过去 2755 n 8
厦 shà 高楼大厦 2264 + 8
厨 chú 厨房水槽 2132 5 8
厩 jiù 在马厩里 4181 n 8
厮 sī 两军厮杀 3114 n 8
去 qù 我去洗澡 64 1 1
县 xiàn 沙县小吃 877 4 1
叁 sān 壹贰叁肆 4396 n 1
参 cān 参加活动 507 2 1
又 yòu 你又来了 126 2 12
叉 chā 交叉双臂 2231 5 5
及 jí 以及…… 198 3 13
友 yǒu 朋友 594 1 8
双 shuāng 一双鞋子 581 3 3
反 fǎn 化学反应 237 3 8
发 fā 经济发展 47 2 8
叔 shū 叔叔阿姨 1422 4 3
取 qǔ 取快递 323 2 3
受 shòu 享受生活 238 2 2
变 biàn 变为现实 225 2 1
叙 xù 叙述故事 1607 + 3
叛 pàn 背叛祖国 1779 + 3
叟 sǒu 童叟无欺 3804 n 1
叠 dié 折叠椅 2271 + 1
口 kǒu 出口成章 212 1 1
古 gǔ 古老文明 509 3 1
句 jù 一句话 707 2 11
另 lìng 另外一个 489 3 1
叨 dāo 不断唠叨 2844 + 3
叩 kòu 叩头谢罪 2898 n 3
只 zhī 一只猫 97 2 1
叫 jiào 我叫李蓓 387 1 3
召 zhào 召开会议 1214 4 1
叭 bā 吹喇叭 2704 + 3
叮 dīng 叮咚作响 2611 + 3
可 kě 可口可乐 30 2 13
台 tái 一台电脑 388 3 1
叱 chì 叱咤风云 3181 n 3
史 shǐ 中国历史 456 4 13
右 yòu 左右为难 783 1 8
叶 yè 叶公好龙 920 4 3
号 hào 一号线 487 1 1
司 sī 一家公司 278 2 11
叹 tàn 感叹不已 1299 6 3
叼 diāo 猫嘴叼着 3703 + 3
叽 jī 叽叽喳喳 3198 n 3
吁 yù 呼吁大家 2138 + 3
吃 chī 出去吃饭 475 1 3
各 gè 各种各样 209 3 1
吆 yāo 吆喝一声 3551 n 3
合 hé 谢谢合作 171 2 1
吉 jí 吉祥如意 856 6 1
吊 diào 吊车起重 2050 6 1
同 tóng 与此同时 69 1 6
名 míng 什么名字 203 1 8
后 hòu 最后一次 48 1 8
吏 lì 担任官吏 2311 + 13
吐 tù 恶心呕吐 1653 5 3
向 xiàng 向他道歉 146 2 6
吒 zha 《哪吒》 5303 n 3
吓 xià 吓我一跳 1466 5 3
吕 Lǚ 三国吕布 1716 + 1
吗 ma 你饿吗？ 453 1 3
君 jūn 正人君子 985 + 8
吝 lìn 非常吝啬 3507 n 1
吞 tūn 狼吞虎咽 1797 6 1
吟 yín 呻吟着说 2015 n 3
吠 fèi 小狗狂吠 3426 n 3
否 fǒu 否定现实 620 3 1
吧 ba 我们走吧 470 1 3
吨 dūn 千吨巨石 1700 5 3
吩 fēn 听从吩咐 2299 + 3
含 hán 含义深刻 937 4 1
听 tīng 听到声音 285 1 3
吭 kēng 一声不吭 3067 + 3
吮 shǔn 吸吮母乳 3699 n 3
启 qǐ 重启电脑 1320 5 8
吱 zī 吱吱叫声 2805 n 3
吴 Wú 三国东吴 1135 + 1
吵 chǎo 夫妻吵架 2040 3 3
吸 xī 吸引客户 924 4 3
吹 chuī 吹风机 1390 2 3
吻 wěn 不大吻合 1973 + 3
吼 hǒu 向她怒吼 2151 + 3
吾 wú 维吾尔族 1649 n 1
呀 ya 哪儿呀？ 929 4 3
呃 è 呃逆不止 3173 n 3
呆 dāi 呆如木鸡 1338 5 1
呈 chéng 呈阳性 1563 + 1
告 gào 别告诉他 310 1 1
呐 nà 呐喊助威 2899 + 3
呕 ǒu 恶心呕吐 2855 + 3
呗 bei 就算了呗 3962 n 3
员 yuán 服务员 200 3 1
呛 qiàng 累得够呛 3418 + 3
呜 wū 呜呜地哭 2572 + 3
呢 ne 你呢？ 383 1 3
周 zhōu 周围环境 490 2 6
呱 gū 呱呱坠地 3476 n 3
味 wèi 意味着 844 2 3
呵 hē “呵呵” 1861 + 3
呸 pēi 呸呸呸！ 3868 n 3
呻 shēn 痛苦呻吟 2929 n 3
呼 hū 呼吸系统 843 4 3
命 mìng 救命啊！ 258 3 11
咀 jǔ 咀嚼食物 3498 n 3
咄 duō 咄咄逼人 3325 n 3
咆 páo 海浪咆哮 3369 n 3
咋 zǎ 咋样？ 2830 n 3
和 hé 世界和平 19 1 3
咎 jiù 归咎于 3225 n 1
咏 yǒng 歌咏比赛 3469 + 3
咐 fù 吩咐仆人 2093 + 3
咒 zhòu 被诅咒了 2286 n 1
咔 kā 咔嚓一声 3754 n 3
咕 gū 咕噜咕噜 2418 n 3
咖 kā 一杯咖啡 2379 3 3
咙 lóng 喉咙发炎 3027 + 3
咚 dōng 叮叮咚咚 2950 n 3
咦 yí “咦！” 3080 n 3
咧 liē 大大咧咧 2741 + 3
咨 zī 心理咨询 2408 6 1
咪 mī 可爱猫咪 3313 n 3
咫 zhǐ 咫尺天涯 4196 n 10
咬 yǎo 虫子叮咬 1658 5 3
咯 gē 咯吱一声 2744 n 3
咱 zán 咱们走吧 1265 2 3
咳 ké 咳嗽药 2373 5 3
咸 xián 海水很咸 2525 4 6
咻 xiū 咻咻地叫 4347 n 3
咽 yàn 狼吞虎咽 2031 + 3
哀 āi 感到哀伤 1751 + 13
品 pǐn 奢侈品 308 3 1
哄 hǒng 别哄我了 2513 + 3
哆 duō 直打哆嗦 3231 + 3
哇 wa 哇！好棒 2433 6 3
哈 hā 哈哈大笑 713 3 3
哉 zāi 天何言哉 2758 n 11
响 xiǎng 影响力 503 2 3
哎 āi 哎呀！ 2294 + 3
哑 yǎ 哑巴英语 2368 + 3
哒 dā 嘀嘀哒哒 3741 n 3
哔 Bī 哔哩哔哩 5434 n 3
哗 huá 大声喧哗 2486 + 3
哟 yō 哎哟！ 2524 n 3
呦 yōu variant 5390 n
哥 gē 哥哥弟弟 804 1 1
哦 ó 哦，是你 1913 + 3
哨 shào 吹口哨 2383 + 3
哩 lī 叽哩咕噜 1949 n 3
哪 nǎ 在哪里？ 652 1 3
哭 kū 悲哀哭泣 1210 2 1
哮 xiào 患有哮喘 2908 n 3
哲 zhé 哲学思想 1117 6 1
哺 bǔ 哺乳动物 2810 + 3
哼 hēng 哼着歌曲 1966 + 3
哽 gěng 声音哽咽 3694 n 3
唁 yàn 悼唁故人 4847 n 3
唆 suō 教唆犯罪 3654 n 3
唇 chún 嘴唇干裂 1880 + 8
唉 ài 唉，完了 2091 + 3
唐 Táng 唐人街 973 + 8
唔 wú “唔…” 3202 n 3
唠 láo 唠叨不休 3399 + 3
唤 huàn 呼唤我们 1835 + 3
唧 jī 吸管唧筒 3757 n 3
唬 hǔ 别吓唬他 3161 + 3
售 shòu 售票处 1114 4 1
唯 wéi 唯一的人 1094 5 3
惟 wéi variant 1856 n
唱 chàng 演唱会 1252 1 3
唾 tuò 分泌唾液 3040 + 3
啃 kěn 狗啃骨头 3345 + 3
啄 zhuó 啄木鸟 3449 n 3
商 shāng 商量商量 402 1 1
啊 a 说啊说啊 753 2 3
啡 fēi 喝咖啡 2326 3 3
啤 pí 喝杯啤酒 2849 3 3
啥 shá 啥问题？ 2082 n 3
啦 la 我走啦！ 1194 6 3
啧 zé 啧啧称奇 3698 n 3
啪 pā 啪啦啪啦 2812 n 3
啬 sè 吝啬鬼 3860 n 1
啰 luō 说话啰嗦 7000 n 3
啸 xiào 呼啸而过 2301 + 3
啼 tí 啼笑皆非 2913 n 3
喀 Kā 喀麦隆 2469 n 3
喂 wèi 禁止喂鸟 1988 2 3
喃 nán 喃喃自语 2233 n 3
善 shàn 完善自我 749 3 1
喇 lǎ 鸣喇叭 2677 + 3
喉 hóu 我喉咙痛 2096 + 3
