```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿了＿心 (pinyin: hěn, freq: 1654, HSK:6, struct:⿰)
32. 深奥＿妙 (pinyin: xuán, freq: 1717, HSK:+, struct:⿱)
33. 效＿很高 (pinyin: lǜ, freq: 625, HSK:5, struct:⿱)
34. 抛砖引＿ (pinyin: yù, freq: 1001, HSK:5, struct:⿷)
35. 白马＿子 (pinyin: wáng, freq: 299, HSK:6, struct:⿱)
36. 柒捌＿拾 (pinyin: jiǔ, freq: 5072, HSK:n, struct:⿰)
37. 沃尔＿ (pinyin: mǎ, freq: 1248, HSK:n, struct:⿰)
38. 开＿笑 (pinyin: wán, freq: 1072, HSK:1, struct:⿰)
39. ＿瑰花 (pinyin: méi, freq: 2303, HSK:5, struct:⿰)
40. 自然＿境 (pinyin: huán, freq: 681, HSK:3, struct:⿰)
41. 实＿梦想 (pinyin: xiàn, freq: 70, HSK:1, struct:⿰)
42. 小巧＿珑 (pinyin: líng, freq: 1855, HSK:n, struct:⿰)
43. ＿污名声 (pinyin: diàn, freq: 4069, HSK:n, struct:⿰)
44. 加盖国＿ (pinyin: xǐ, freq: 3758, HSK:n, struct:⿱)
45. ＿璃窗户 (pinyin: bō, freq: 1769, HSK:5, struct:⿰)
46. 琥＿化石 (pinyin: pò, freq: 2981, HSK:n, struct:⿰)
47. 伽：＿ (pinyin: jiā, freq: 5061, HSK:n, struct:⿰)
48. ＿瑚礁 (pinyin: shān, freq: 2555, HSK:n, struct:⿰)
49. ＿珠奶茶 (pinyin: zhēn, freq: 1314, HSK:5, struct:⿰)
50. 八面玲＿ (pinyin: lóng, freq: 3797, HSK:n, struct:⿰)
51. ＿巴族 (pinyin: Luò, freq: 4586, HSK:n, struct:⿰)
52. 珍＿奶茶 (pinyin: zhū, freq: 1286, HSK:6, struct:⿰)
53. 上＿族 (pinyin: bān, freq: 884, HSK:1, struct:⿲)
54. 打篮＿ (pinyin: qiú, freq: 628, HSK:2, struct:⿰)
55. 琳＿满目 (pinyin: láng, freq: 3585, HSK:n, struct:⿰)
56. ＿所当然 (pinyin: lǐ, freq: 89, HSK:3, struct:⿰)
57. ＿璃瓦 (pinyin: liú, freq: 2962, HSK:n, struct:⿰)
58. 无聊＿事 (pinyin: suǒ, freq: 2834, HSK:+, struct:⿰)
59. 反复＿磨 (pinyin: zuó, freq: 2921, HSK:+, struct:⿰)
60. ＿珀色 (pinyin: hǔ, freq: 4456, HSK:n, struct:⿰)
61. ＿君散文 (pinyin: Qí, freq: 3288, HSK:n, struct:⿰)
62. 梁咏＿ (pinyin: qí, freq: 3138, HSK:n, struct:⿰)
63. ＿琅满目 (pinyin: lín, freq: 2400, HSK:n, struct:⿰)
64. ＿棋书画 (pinyin: qín, freq: 1701, HSK:4, struct:⿱)
65. ＿琶弹奏 (pinyin: pí, freq: 3721, HSK:n, struct:⿱)
66. 一把琵＿ (pinyin: pá, freq: 3612, HSK:n, struct:⿱)
67. ＿斯先生 (pinyin: Qióng, freq: 2205, HSK:n, struct:⿰)
68. 完美无＿ (pinyin: xiá, freq: 3842, HSK:+, struct:⿰)
69. 玛＿石 (pinyin: nǎo, freq: 3428, HSK:n, struct:⿰)
70. 珊＿礁 (pinyin: hú, freq: 3140, HSK:n, struct:⿰)
71. 练＿伽 (pinyin: yú, freq: 2875, HSK:n, struct:⿰)
72. ＿幸咖啡 (pinyin: Ruì, freq: 1332, HSK:+, struct:⿰)
73. ＿＿发抖 (pinyin: sè, freq: 1694, HSK:n, struct:⿱)
74. 玫＿花 (pinyin: guī, freq: 2492, HSK:5, struct:⿰)
75. 琼＿作品 (pinyin: Yáo, freq: 2900, HSK:n, struct:⿰)
76. ＿璨之星 (pinyin: cuǐ, freq: 4692, HSK:+, struct:⿰)
77. 玻＿杯 (pinyin: lí, freq: 1894, HSK:5, struct:⿰)
78. 周＿歌声 (pinyin: Xuán, freq: 2065, HSK:n, struct:⿰)
79. 朱元＿ (pinyin: zhāng, freq: 3267, HSK:n, struct:⿰)
80. 返＿归真 (pinyin: pú, freq: 3906, HSK:n, struct:⿰)
81. 中西合＿ (pinyin: bì, freq: 3589, HSK:n, struct:⿱)
82. 璀＿之星 (pinyin: càn, freq: 4638, HSK:+, struct:⿰)
83. 哈密＿ (pinyin: guā, freq: 1827, HSK:3, struct:⿵)
84. 七星＿虫 (pinyin: piáo, freq: 3735, HSK:n, struct:⿰)
85. 花＿飘落 (pinyin: bàn, freq: 2915, HSK:+, struct:⿲)
86. 黄＿西瓜 (pinyin: ráng, freq: 5046, HSK:n, struct:⿰)
87. 屋顶＿片 (pinyin: wǎ, freq: 1195, HSK:+, struct:none)
88. ＿中之鳖 (pinyin: wèng, freq: 3873, HSK:n, struct:⿱)
89. 一＿红酒 (pinyin: píng, freq: 1703, HSK:3, struct:⿰)
90. 陶＿制品 (pinyin: cí, freq: 2285, HSK:6, struct:⿱)
91. ＿别考试 (pinyin: zhēn, freq: 3933, HSK:n, struct:⿰)
92. 心＿情愿 (pinyin: gān, freq: 1408, HSK:+, struct:⿵)
93. ＿而至于 (pinyin: shèn, freq: 626, HSK:4, struct:⿱)
94. ＿言蜜语 (pinyin: tián, freq: 2020, HSK:3, struct:⿰)
95. 医＿看病 (pinyin: shēng, freq: 34, HSK:1, struct:⿻)
96. 外＿女 (pinyin: shēng, freq: 3809, HSK:6, struct:⿰)
97. 起…作＿ (pinyin: yòng, freq: 51, HSK:3, struct:⿵)
98. ＿着尾巴 (pinyin: shuǎi, freq: 2603, HSK:+, struct:⿵)
99. 杜＿诗人 (pinyin: Fǔ, freq: 2152, HSK:n, struct:⿺)
100. 地下＿道 (pinyin: yǒng, freq: 4038, HSK:n, struct:⿱)
