```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 锻＿身体 (pinyin: liàn, freq: 1763, HSK:3, struct:⿰)
89. 战争＿态 (pinyin: zhuàng, freq: 624, HSK:5, struct:⿰)
90. 风格粗＿ (pinyin: guǎng, freq: 4624, HSK:n, struct:⿰)
91. 长毛猛＿ (pinyin: mà, freq: 5838, HSK:n, struct:⿰)
92. ＿豫不决 (pinyin: yóu, freq: 1230, HSK:5, struct:⿰)
93. 疯＿迷恋 (pinyin: kuáng, freq: 1147, HSK:5, struct:⿰)
94. ＿仁杰 (pinyin: Dí, freq: 2219, HSK:n, struct:⿰)
95. 狼＿不堪 (pinyin: bèi, freq: 3090, HSK:+, struct:⿰)
96. ＿假虎威 (pinyin: hú, freq: 2321, HSK:+, struct:⿰)
97. ＿＿猴子 (pinyin: fèi, freq: 3281, HSK:n, struct:⿰)
98. ＿汪汪叫 (pinyin: gǒu, freq: 1281, HSK:1, struct:⿰)
99. ＿击步枪 (pinyin: jū, freq: 3621, HSK:n, struct:⿰)
100. 面目狰＿ (pinyin: níng, freq: 3457, HSK:n, struct:⿰)
