```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿默不语 (pinyin: jiān, freq: 3908, HSK:n, struct:⿰)
35. 犯＿行为 (pinyin: zuì, freq: 718, HSK:6, struct:⿱)
36. 确切位＿ (pinyin: zhì, freq: 677, HSK:5, struct:⿱)
37. 部＿军队 (pinyin: shǔ, freq: 1379, HSK:+, struct:⿱)
38. ＿患癌症 (pinyin: lí, freq: 4168, HSK:n, struct:⿱)
39. ＿押候审 (pinyin: jī, freq: 3297, HSK:n, struct:⿱)
40. ＿肉串儿 (pinyin: yáng, freq: 1337, HSK:3, struct:⿱)
41. ＿族碉楼 (pinyin: Qiāng, freq: 3509, HSK:n, struct:⿸)
42. ＿丽风景 (pinyin: měi, freq: 151, HSK:4, struct:⿱)
43. 小羊＿子 (pinyin: gāo, freq: 3604, HSK:n, struct:⿱)
44. 非洲＿羊 (pinyin: líng, freq: 3859, HSK:n, struct:⿰)
45. 害＿孩子 (pinyin: xiū, freq: 2048, HSK:4, struct:⿸)
46. 很＿慕你 (pinyin: xiàn, freq: 2732, HSK:4, struct:⿱)
47. 一＿绵羊 (pinyin: qún, freq: 570, HSK:5, struct:⿰)
48. 摩＿座 (pinyin: jié, freq: 4952, HSK:n, struct:⿰)
49. 伏＿八卦 (pinyin: Xī, freq: 3942, HSK:n, struct:⿱)
50. 分一杯＿ (pinyin: gēng, freq: 3907, HSK:n, struct:⿱)
51. 打＿毛球 (pinyin: yǔ, freq: 1865, HSK:3, struct:⿰)
52. 后＿射日 (pinyin: yì, freq: 4860, HSK:n, struct:⿱)
53. 赛＿失马 (pinyin: wēng, freq: 2112, HSK:+, struct:⿱)
54. 展开＿膀 (pinyin: chì, freq: 2066, HSK:5, struct:⿺)
55. ＿日清晨 (pinyin: yì, freq: 3708, HSK:n, struct:⿱)
56. 孔雀＿ (pinyin: líng, freq: 3417, HSK:n, struct:⿰)
57. 展翅飞＿ (pinyin: xiáng, freq: 2184, HSK:+, struct:⿰)
58. ＿起尾巴 (pinyin: qiào, freq: 2992, HSK:+, struct:⿺)
59. ＿志刚 (pinyin: Zhái, freq: 3919, HSK:n, struct:⿱)
60. 翡＿手镯 (pinyin: cuì, freq: 2177, HSK:+, struct:⿱)
61. ＿翠饰品 (pinyin: fěi, freq: 4135, HSK:n, struct:⿱)
62. ＿＿起舞 (pinyin: piān, freq: 3234, HSK:n, struct:⿰)
63. 他叫约＿ (pinyin: hàn, freq: 1881, HSK:n, struct:⿰)
64. 上空＿翔 (pinyin: áo, freq: 4148, HSK:n, struct:⿰)
65. ＿天覆地 (pinyin: fān, freq: 1027, HSK:4, struct:⿰)
66. 小心＿＿ (pinyin: yì, freq: 1294, HSK:+, struct:⿱)
67. ＿眼夺目 (pinyin: yào, freq: 1804, HSK:+, struct:⿰)
68. ＿马识途 (pinyin: lǎo, freq: 179, HSK:1, struct:⿸)
69. 通过＿试 (pinyin: kǎo, freq: 495, HSK:2, struct:⿸)
70. 新闻记＿ (pinyin: zhě, freq: 103, HSK:3, struct:⿸)
71. 年迈＿老 (pinyin: qí, freq: 3779, HSK:n, struct:⿱)
72. 久＿久之 (pinyin: ér, freq: 36, HSK:3, struct:⿱)
73. 玩＿嬉戏 (pinyin: shuǎ, freq: 2260, HSK:+, struct:⿱)
74. 吃苦＿劳 (pinyin: nài, freq: 1409, HSK:4, struct:⿰)
75. 用锄＿田 (pinyin: gēng, freq: 1850, HSK:+, struct:⿰)
76. ＿时＿力 (pinyin: hào, freq: 1730, HSK:6, struct:⿰)
77. 耕＿农田 (pinyin: yún, freq: 4035, HSK:+, struct:⿰)
78. ＿起树叶 (pinyin: pá, freq: 4126, HSK:n, struct:⿰)
79. 洗＿恭听 (pinyin: ěr, freq: 887, HSK:3, struct:⿻)
80. ＿稣复活 (pinyin: Yē, freq: 1174, HSK:n, struct:⿰)
81. 耳朵＿拉 (pinyin: dā, freq: 4120, HSK:n, struct:⿱)
82. ＿了＿肩 (pinyin: sǒng, freq: 2163, HSK:+, struct:⿱)
83. 不＿下问 (pinyin: chǐ, freq: 2169, HSK:+, struct:⿰)
84. ＿误时间 (pinyin: dān, freq: 2658, HSK:6, struct:⿰)
85. 忠心＿＿ (pinyin: gěng, freq: 2687, HSK:+, struct:⿰)
86. ＿卫平 (pinyin: Niè, freq: 2797, HSK:n, struct:⿱)
87. ＿听教诲 (pinyin: líng, freq: 3770, HSK:+, struct:⿰)
88. 和他＿天 (pinyin: liáo, freq: 1932, HSK:3, struct:⿰)
89. 天生耳＿ (pinyin: lóng, freq: 2873, HSK:+, struct:⿱)
90. 全＿工作 (pinyin: zhí, freq: 616, HSK:4, struct:⿰)
91. ＿噪不休 (pinyin: guō, freq: 5079, HSK:n, struct:⿰)
92. 互＿网 (pinyin: lián, freq: 356, HSK:4, struct:⿰)
93. 招＿人才 (pinyin: pìn, freq: 2253, HSK:4, struct:⿰)
94. 家庭＿会 (pinyin: jù, freq: 1306, HSK:4, struct:⿱)
95. ＿明伶俐 (pinyin: cōng, freq: 1669, HSK:3, struct:⿰)
96. 严＿认真 (pinyin: sù, freq: 1518, HSK:5, struct:⿱)
97. ＿业证书 (pinyin: yì, freq: 5563, HSK:n, struct:⿰)
98. ＿无忌惮 (pinyin: sì, freq: 2445, HSK:+, struct:⿰)
99. ＿事逃逸 (pinyin: zhào, freq: 3206, HSK:+, struct:⿱)
100. 牛＿拉面 (pinyin: ròu, freq: 1009, HSK:2, struct:⿻)
