```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 这场战＿ (pinyin: yì, freq: 1245, HSK:+, struct:⿰)
41. 后顾之＿ (pinyin: yōu, freq: 1461, HSK:6, struct:⿰)
42. 睡眼惺＿ (pinyin: sōng, freq: 5274, HSK:n, struct:⿰)
43. 生日＿乐 (pinyin: kuài, freq: 366, HSK:2, struct:⿰)
44. 满腔热＿ (pinyin: chén, freq: 3328, HSK:n, struct:⿰)
45. 抽象概＿ (pinyin: niàn, freq: 477, HSK:5, struct:⿱)
46. ＿怩不安 (pinyin: niǔ, freq: 4813, HSK:n, struct:⿰)
47. ＿然之间 (pinyin: hū, freq: 912, HSK:4, struct:⿱)
48. 同仇敌＿ (pinyin: kài, freq: 5024, HSK:n, struct:⿰)
49. 愤：＿ (pinyin: fèn, freq: 3145, HSK:n, struct:⿱)
50. 使我＿疑 (pinyin: huái, freq: 762, HSK:4, struct:⿰)
51. 消极＿度 (pinyin: tài, freq: 528, HSK:4, struct:⿱)
52. ＿恿鼓励 (pinyin: sǒng, freq: 3702, HSK:+, struct:⿱)
53. ＿然若失 (pinyin: chàng, freq: 3409, HSK:n, struct:⿰)
54. ＿然泪下 (pinyin: chuàng, freq: 4096, HSK:n, struct:⿰)
55. ＿么办？ (pinyin: zěn, freq: 382, HSK:1, struct:⿱)
56. ＿＿不乐 (pinyin: yàng, freq: 4369, HSK:n, struct:⿰)
57. 愤＿地说 (pinyin: nù, freq: 1143, HSK:6, struct:⿱)
58. ＿＿地看 (pinyin: zhèng, freq: 2191, HSK:n, struct:⿰)
59. 感到害＿ (pinyin: pà, freq: 631, HSK:3, struct:⿰)
60. 恐＿片 (pinyin: bù, freq: 1776, HSK:+, struct:⿰)
61. 我真可＿ (pinyin: lián, freq: 1599, HSK:6, struct:⿰)
62. 自我反＿ (pinyin: sī, freq: 298, HSK:2, struct:⿱)
63. ＿慢客人 (pinyin: dài, freq: 3024, HSK:+, struct:⿱)
64. 章子＿ (pinyin: yí, freq: 2519, HSK:+, struct:⿰)
65. 当务之＿ (pinyin: jí, freq: 657, HSK:3, struct:⿱)
66. ＿然心动 (pinyin: pēng, freq: 3636, HSK:n, struct:⿰)
67. 人＿化 (pinyin: xìng, freq: 122, HSK:4, struct:⿰)
68. 抱＿不已 (pinyin: yuàn, freq: 1637, HSK:5, struct:⿱)
69. 忸＿作态 (pinyin: ní, freq: 4766, HSK:n, struct:⿰)
70. 大惊小＿ (pinyin: guài, freq: 775, HSK:3, struct:⿰)
71. 胆小＿懦 (pinyin: qiè, freq: 2488, HSK:+, struct:⿰)
72. 美国＿统 (pinyin: zǒng, freq: 228, HSK:3, struct:⿳)
73. 有＿无恐 (pinyin: shì, freq: 3219, HSK:n, struct:⿰)
74. 谈＿爱 (pinyin: liàn, freq: 1464, HSK:5, struct:⿱)
75. ＿然大悟 (pinyin: huǎng, freq: 2535, HSK:+, struct:⿰)
76. 争先＿后 (pinyin: kǒng, freq: 891, HSK:4, struct:⿱)
77. 持之以＿ (pinyin: héng, freq: 1764, HSK:+, struct:⿰)
78. 请求饶＿ (pinyin: shù, freq: 2314, HSK:+, struct:⿱)
79. 安然无＿ (pinyin: yàng, freq: 3728, HSK:n, struct:⿱)
80. ＿复正常 (pinyin: huī, freq: 1364, HSK:5, struct:⿰)
81. ＿意妄为 (pinyin: zì, freq: 3968, HSK:n, struct:⿱)
82. T＿衫 (pinyin: xù, freq: 3214, HSK:+, struct:⿰)
83. 怀有仇＿ (pinyin: hèn, freq: 1295, HSK:6, struct:⿰)
84. 感＿节 (pinyin: ēn, freq: 888, HSK:+, struct:⿱)
85. ＿守规矩 (pinyin: kè, freq: 3483, HSK:n, struct:⿰)
86. ＿吓威胁 (pinyin: dòng, freq: 4095, HSK:n, struct:⿰)
87. ＿静景象 (pinyin: tián, freq: 3717, HSK:n, struct:⿰)
88. ＿喜发财 (pinyin: gōng, freq: 1742, HSK:5, struct:⿱)
89. 好消＿ (pinyin: xī, freq: 428, HSK:1, struct:⿱)
90. ＿到好处 (pinyin: qià, freq: 1308, HSK:6, struct:⿰)
91. 诚＿情意 (pinyin: kěn, freq: 2265, HSK:+, struct:⿱)
92. 无＿不作 (pinyin: è, freq: 792, HSK:6, struct:⿱)
93. 刘＿威 (pinyin: Kǎi, freq: 3432, HSK:n, struct:⿰)
94. ＿隐之心 (pinyin: cè, freq: 3896, HSK:n, struct:⿰)
95. 烦＿的事 (pinyin: nǎo, freq: 1704, HSK:4, struct:⿰)
96. 怂＿鼓励 (pinyin: yǒng, freq: 3913, HSK:+, struct:⿱)
97. ＿＿溜出 (pinyin: qiāo, freq: 1434, HSK:5, struct:⿰)
98. 澳洲＿尼 (pinyin: Xī, freq: 1428, HSK:4, struct:⿱)
99. 强＿敌人 (pinyin: hàn, freq: 3073, HSK:n, struct:⿰)
100. 后＿不已 (pinyin: huǐ, freq: 1853, HSK:4, struct:⿰)
