```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 释放俘＿ (pinyin: lǔ, freq: 2475, HSK:+, struct:⿸)
59. 打死苍＿ (pinyin: yíng, freq: 2722, HSK:+, struct:⿰)
60. 夏天＿鸣 (pinyin: chán, freq: 3048, HSK:n, struct:⿰)
61. 池塘＿蚪 (pinyin: kē, freq: 4114, HSK:n, struct:⿰)
62. 天＿座 (pinyin: xiē, freq: 3929, HSK:n, struct:⿰)
63. ＿虫灾害 (pinyin: huáng, freq: 3271, HSK:n, struct:⿰)
64. ＿蝠侠 (pinyin: biān, freq: 3829, HSK:n, struct:⿰)
65. 蝙＿洞穴 (pinyin: fú, freq: 3335, HSK:n, struct:⿰)
66. ＿蝶效应 (pinyin: hú, freq: 2964, HSK:5, struct:⿰)
67. 变成蝴＿ (pinyin: dié, freq: 2306, HSK:5, struct:⿰)
68. 讨厌蟑＿ (pinyin: láng, freq: 3594, HSK:n, struct:⿰)
69. ＿蟹横行 (pinyin: páng, freq: 3938, HSK:+, struct:⿰)
70. ＿入社会 (pinyin: róng, freq: 1225, HSK:6, struct:⿰)
71. 螃蟹有＿ (pinyin: áo, freq: 5610, HSK:n, struct:⿱)
72. ＿丝刀 (pinyin: luó, freq: 2386, HSK:+, struct:⿰)
73. 蟋＿唧唧 (pinyin: shuài, freq: 3792, HSK:n, struct:⿰)
74. 癞蛤＿ (pinyin: ma, freq: 3849, HSK:n, struct:⿰)
75. ＿蟀声 (pinyin: xī, freq: 3780, HSK:n, struct:⿰)
76. 一只＿螂 (pinyin: zhāng, freq: 4269, HSK:n, struct:⿰)
77. ＿蛇缠绕 (pinyin: mǎng, freq: 3696, HSK:n, struct:⿰)
78. 螃＿钳子 (pinyin: xiè, freq: 3049, HSK:+, struct:⿱)
79. 甘蔗＿蜍 (pinyin: chán, freq: 3934, HSK:n, struct:⿰)
80. 蛇＿动着 (pinyin: rú, freq: 3512, HSK:n, struct:⿰)
81. 愚＿之举 (pinyin: chǔn, freq: 2195, HSK:+, struct:⿱)
82. 伤口流＿ (pinyin: xuè, freq: 658, HSK:4, struct:⿱)
83. 故意挑＿ (pinyin: xìn, freq: 3146, HSK:+, struct:⿰)
84. 进＿研究 (pinyin: xíng, freq: 53, HSK:3, struct:⿰)
85. 敷＿了事 (pinyin: yǎn, freq: 2437, HSK:+, struct:⿲)
86. 学术头＿ (pinyin: xián, freq: 2328, HSK:+, struct:⿲)
87. 唐人＿ (pinyin: jiē, freq: 1101, HSK:3, struct:⿲)
88. 大臣＿门 (pinyin: yá, freq: 2769, HSK:n, struct:⿲)
89. 权＿利弊 (pinyin: héng, freq: 1340, HSK:5, struct:⿲)
90. 一件＿服 (pinyin: yī, freq: 725, HSK:1, struct:⿱)
91. 他＿充说 (pinyin: bǔ, freq: 944, HSK:5, struct:⿰)
92. ＿示同意 (pinyin: biǎo, freq: 177, HSK:2, struct:⿱)
93. 开＿长裤 (pinyin: chǎ, freq: 4675, HSK:n, struct:⿰)
94. 长袖衬＿ (pinyin: shān, freq: 2153, HSK:3, struct:⿰)
95. ＿衫袖子 (pinyin: chèn, freq: 2502, HSK:3, struct:⿰)
96. 身体＿弱 (pinyin: shuāi, freq: 1702, HSK:6, struct:⿳)
97. 无动于＿ (pinyin: zhōng, freq: 2157, HSK:+, struct:⿳)
98. 将军＿绍 (pinyin: Yuán, freq: 1755, HSK:n, struct:⿳)
99. 联＿演出 (pinyin: mèi, freq: 4479, HSK:n, struct:⿰)
100. 中式棉＿ (pinyin: ǎo, freq: 3480, HSK:n, struct:⿰)
