```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 谭＿培 (pinyin: Xīn, freq: 3843, HSK:n, struct:⿱)
20. 按＿开关 (pinyin: niǔ, freq: 2685, HSK:+, struct:⿰)
21. 见＿眼开 (pinyin: qián, freq: 603, HSK:1, struct:⿰)
22. ＿子夹紧 (pinyin: qián, freq: 3344, HSK:n, struct:⿰)
23. 僧人敲＿ (pinyin: bō, freq: 3584, HSK:n, struct:⿰)
24. ＿石戒指 (pinyin: zuàn, freq: 1724, HSK:6, struct:⿰)
25. 增施＿肥 (pinyin: jiǎ, freq: 3801, HSK:n, struct:⿰)
26. ＿燃料棒 (pinyin: yóu, freq: 3105, HSK:n, struct:⿰)
27. 地＿站 (pinyin: tiě, freq: 779, HSK:2, struct:⿰)
28. ＿金会员 (pinyin: bó, freq: 4697, HSK:n, struct:⿰)
29. 掩耳盗＿ (pinyin: líng, freq: 1969, HSK:5, struct:⿰)
30. ＿石流金 (pinyin: shuò, freq: 5473, HSK:n, struct:⿰)
31. 用＿笔写 (pinyin: qiān, freq: 2641, HSK:3, struct:⿰)
32. 抽芯＿钉 (pinyin: mǎo, freq: 5360, HSK:n, struct:⿰)
33. 铜＿鸣响 (pinyin: duó, freq: 3688, HSK:n, struct:⿰)
34. 手＿锁紧 (pinyin: kào, freq: 3760, HSK:n, struct:⿰)
35. 摇响铃＿ (pinyin: dāng, freq: 4436, HSK:n, struct:⿰)
36. 青＿时代 (pinyin: tóng, freq: 1772, HSK:6, struct:⿰)
37. 可乐＿罐 (pinyin: lǚ, freq: 3217, HSK:n, struct:⿰)
38. ＿甲勇士 (pinyin: kǎi, freq: 4314, HSK:n, struct:⿰)
39. ＿刀切纸 (pinyin: zhá, freq: 4496, HSK:n, struct:⿰)
40. 精密＿床 (pinyin: xǐ, freq: 4786, HSK:n, struct:⿰)
41. ＿羽而归 (pinyin: shā, freq: 4683, HSK:n, struct:⿰)
42. 镀＿铁管 (pinyin: gè, freq: 4189, HSK:n, struct:⿰)
43. 座右＿ (pinyin: míng, freq: 2061, HSK:+, struct:⿰)
44. 金属＿＿ (pinyin: zhēng, freq: 3154, HSK:n, struct:⿰)
45. 门＿链 (pinyin: jiǎo, freq: 4630, HSK:n, struct:⿰)
46. ＿除积雪 (pinyin: chǎn, freq: 3057, HSK:+, struct:⿰)
47. ＿行存款 (pinyin: yín, freq: 757, HSK:3, struct:⿰)
48. ＿币造钱 (pinyin: zhù, freq: 2530, HSK:+, struct:⿰)
49. 店＿管理 (pinyin: pù, freq: 1613, HSK:6, struct:⿰)
50. 珍珠项＿ (pinyin: liàn, freq: 2099, HSK:6, struct:⿰)
51. ＿锵有力 (pinyin: kēng, freq: 4111, HSK:n, struct:⿰)
52. ＿售额 (pinyin: xiāo, freq: 904, HSK:5, struct:⿰)
53. 连＿反应 (pinyin: suǒ, freq: 1558, HSK:5, struct:⿰)
54. ＿电池 (pinyin: lǐ, freq: 4873, HSK:n, struct:⿰)
55. ＿头除草 (pinyin: chú, freq: 3545, HSK:+, struct:⿰)
56. 四川火＿ (pinyin: guō, freq: 2074, HSK:5, struct:⿰)
57. 不＿钢 (pinyin: xiù, freq: 3366, HSK:+, struct:⿰)
58. 指甲＿刀 (pinyin: cuò, freq: 4866, HSK:n, struct:⿰)
59. 针＿相对 (pinyin: fēng, freq: 1671, HSK:+, struct:⿰)
60. 含＿牡蛎 (pinyin: xīn, freq: 3533, HSK:n, struct:⿰)
61. 杀手＿ (pinyin: jiǎn, freq: 4273, HSK:n, struct:⿰)
62. 观察敏＿ (pinyin: ruì, freq: 1851, HSK:+, struct:⿰)
63. ＿铛入狱 (pinyin: láng, freq: 5340, HSK:n, struct:⿰)
64. 判断对＿ (pinyin: cuò, freq: 638, HSK:2, struct:⿰)
65. 抛＿停船 (pinyin: máo, freq: 3500, HSK:n, struct:⿰)
66. ＿凿斧锯 (pinyin: bēn, freq: 5806, HSK:n, struct:⿰)
67. ＿罐子 (pinyin: xī, freq: 2058, HSK:+, struct:⿰)
68. 禁＿思想 (pinyin: gù, freq: 3948, HSK:n, struct:⿰)
69. 南＿鼓巷 (pinyin: luó, freq: 3162, HSK:n, struct:⿰)
70. 铁＿敲打 (pinyin: chuí, freq: 2937, HSK:+, struct:⿰)
71. 圆＿体 (pinyin: zhuī, freq: 3064, HSK:n, struct:⿰)
72. ＿上添花 (pinyin: jǐn, freq: 1947, HSK:+, struct:⿰)
73. 锹＿铲类 (pinyin: xiān, freq: 4650, HSK:n, struct:⿰)
74. 熔炼铁＿ (pinyin: dìng, freq: 4199, HSK:n, struct:⿰)
75. ＿盘输入 (pinyin: jiàn, freq: 1471, HSK:4, struct:⿰)
76. 木工＿子 (pinyin: jù, freq: 3078, HSK:n, struct:⿰)
77. 高＿酸钾 (pinyin: měng, freq: 4204, HSK:n, struct:⿰)
78. ＿而不舍 (pinyin: qiè, freq: 4771, HSK:+, struct:⿰)
79. 铿＿有力 (pinyin: qiāng, freq: 3953, HSK:n, struct:⿲)
80. 铁＿挖土 (pinyin: qiāo, freq: 4137, HSK:n, struct:⿰)
81. ＿炼身体 (pinyin: duàn, freq: 2531, HSK:3, struct:⿰)
82. ＿锌防锈 (pinyin: dù, freq: 3931, HSK:n, struct:⿰)
83. ＿合金 (pinyin: měi, freq: 4023, HSK:n, struct:⿰)
84. ＿空艺术 (pinyin: lòu, freq: 4301, HSK:n, struct:⿰)
85. 保持＿静 (pinyin: zhèn, freq: 1002, HSK:6, struct:⿰)
86. ＿子拔除 (pinyin: niè, freq: 5395, HSK:n, struct:⿰)
87. ＿刻碑文 (pinyin: juān, freq: 4233, HSK:n, struct:⿰)
88. ＿币一枚 (pinyin: niè, freq: 4438, HSK:n, struct:⿰)
89. 丁字＿ (pinyin: gǎo, freq: 4222, HSK:n, struct:⿰)
90. 英＿汇率 (pinyin: bàng, freq: 2515, HSK:n, struct:⿰)
91. 保＿护卫 (pinyin: biāo, freq: 2727, HSK:n, struct:⿰)
92. 一面＿子 (pinyin: jìng, freq: 1251, HSK:4, struct:⿰)
93. 箭桿箭＿ (pinyin: zú, freq: 5762, HSK:n, struct:⿰)
94. 手铐脚＿ (pinyin: liào, freq: 4403, HSK:n, struct:⿰)
95. 手＿手环 (pinyin: zhuó, freq: 3854, HSK:n, struct:⿰)
96. ＿刀收割 (pinyin: lián, freq: 3824, HSK:n, struct:⿰)
97. 分道扬＿ (pinyin: biāo, freq: 4558, HSK:n, struct:⿰)
98. ＿嵌宝石 (pinyin: xiāng, freq: 2974, HSK:+, struct:⿰)
99. 天＿地久 (pinyin: cháng, freq: 109, HSK:2, struct:⿻)
100. 开＿见山 (pinyin: mén, freq: 185, HSK:2, struct:⿰)
