```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿屋建筑 (pinyin: fáng, freq: 512, HSK:1, struct:⿸)
51. 信息＿露 (pinyin: pī, freq: 2032, HSK:6, struct:⿰)
52. ＿头看 (pinyin: tái, freq: 1386, HSK:4, struct:⿰)
53. 拥＿妻子 (pinyin: bào, freq: 1122, HSK:4, struct:⿰)
54. ＿达机场 (pinyin: dǐ, freq: 1119, HSK:6, struct:⿰)
55. 涂＿黄油 (pinyin: mǒ, freq: 2087, HSK:+, struct:⿰)
56. 退还＿金 (pinyin: yā, freq: 1775, HSK:5, struct:⿰)
57. ＿象艺术 (pinyin: chōu, freq: 1178, HSK:5, struct:⿰)
58. ＿一口酒 (pinyin: mǐn, freq: 3729, HSK:n, struct:⿰)
59. 微风吹＿ (pinyin: fú, freq: 2623, HSK:n, struct:⿰)
60. ＿着拐杖 (pinyin: zhǔ, freq: 4240, HSK:+, struct:⿰)
61. ＿任老师 (pinyin: dān, freq: 720, HSK:3, struct:⿰)
62. 过河＿桥 (pinyin: chāi, freq: 2076, HSK:5, struct:⿰)
63. 大＿指 (pinyin: mǔ, freq: 3031, HSK:+, struct:⿰)
64. ＿起花来 (pinyin: niān, freq: 3616, HSK:n, struct:⿰)
65. 兰州＿面 (pinyin: lā, freq: 324, HSK:4, struct:⿰)
66. 搅＿水泥 (pinyin: bàn, freq: 3570, HSK:+, struct:⿰)
67. ＿了＿手 (pinyin: pāi, freq: 1167, HSK:3, struct:⿰)
68. ＿着袋子 (pinyin: līn, freq: 3380, HSK:+, struct:⿰)
69. 拄着＿杖 (pinyin: guǎi, freq: 2232, HSK:6, struct:⿰)
70. ＿绝邀请 (pinyin: jù, freq: 1331, HSK:4, struct:⿰)
71. 开＿领域 (pinyin: tuò, freq: 2238, HSK:+, struct:⿰)
72. 牙医＿牙 (pinyin: bá, freq: 1502, HSK:6, struct:⿰)
73. ＿拉机 (pinyin: tuō, freq: 1492, HSK:5, struct:⿰)
74. 说话＿口 (pinyin: ào, freq: 3629, HSK:n, struct:⿰)
75. ＿留审问 (pinyin: jū, freq: 2098, HSK:+, struct:⿰)
76. 手脚笨＿ (pinyin: zhuō, freq: 2709, HSK:+, struct:⿰)
77. 拼：＿ (pinyin: pàn, freq: 2983, HSK:n, struct:⿰)
78. 打＿呼 (pinyin: zhāo, freq: 941, HSK:4, struct:⿰)
79. ＿托了！ (pinyin: bài, freq: 1218, HSK:6, struct:⿰)
80. 模＿考试 (pinyin: nǐ, freq: 1541, HSK:6, struct:⿰)
81. 向她靠＿ (pinyin: lǒng, freq: 2374, HSK:+, struct:⿰)
82. 分＿邮件 (pinyin: jiǎn, freq: 2965, HSK:+, struct:⿰)
83. ＿有武器 (pinyin: yōng, freq: 1059, HSK:5, struct:⿰)
84. 别阻＿他 (pinyin: lán, freq: 1996, HSK:6, struct:⿰)
85. ＿开瓶盖 (pinyin: níng, freq: 3178, HSK:+, struct:⿰)
86. ＿打电话 (pinyin: bō, freq: 1807, HSK:5, struct:⿰)
87. 不＿手段 (pinyin: zé, freq: 961, HSK:3, struct:⿰)
88. 包＿在内 (pinyin: kuò, freq: 850, HSK:5, struct:⿰)
89. 擦＿家具 (pinyin: shì, freq: 3337, HSK:n, struct:⿰)
90. 手头＿据 (pinyin: jié, freq: 4536, HSK:n, struct:⿰)
91. ＿救生命 (pinyin: zhěng, freq: 2754, HSK:+, struct:⿰)
92. ＿手相让 (pinyin: gǒng, freq: 2573, HSK:+, struct:⿰)
93. 握紧＿头 (pinyin: quán, freq: 1784, HSK:+, struct:⿱)
94. 把狗＿住 (pinyin: shuān, freq: 3170, HSK:+, struct:⿰)
95. ＿贝粘贴 (pinyin: kǎo, freq: 3230, HSK:n, struct:⿰)
96. ＿命逃跑 (pinyin: pīn, freq: 1820, HSK:5, struct:⿰)
97. ＿着耳朵 (pinyin: zhuài, freq: 3248, HSK:+, struct:⿰)
98. 收＿房间 (pinyin: shí, freq: 1961, HSK:4, struct:⿰)
99. ＿着钥匙 (pinyin: ná, freq: 645, HSK:2, struct:⿱)
100. 享有支＿ (pinyin: chí, freq: 357, HSK:3, struct:⿰)
