```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 力所能＿ (pinyin: jí, freq: 198, HSK:4, struct:⿻)
20. 一＿猫 (pinyin: zhī, freq: 97, HSK:1, struct:⿱)
21. 我＿李蓓 (pinyin: jiào, freq: 387, HSK:1, struct:⿰)
22. ＿开会议 (pinyin: zhào, freq: 1214, HSK:5, struct:⿱)
23. 吹喇＿ (pinyin: bā, freq: 2704, HSK:+, struct:⿰)
24. ＿咚作响 (pinyin: dīng, freq: 2611, HSK:+, struct:⿰)
25. ＿口＿乐 (pinyin: kě, freq: 30, HSK:1, struct:⿹)
26. 一＿电脑 (pinyin: tái, freq: 388, HSK:4, struct:⿱)
27. ＿咤风云 (pinyin: chì, freq: 3181, HSK:n, struct:⿰)
28. 中国历＿ (pinyin: shǐ, freq: 456, HSK:3, struct:⿻)
29. 左＿为难 (pinyin: yòu, freq: 783, HSK:2, struct:⿸)
30. 居心＿测 (pinyin: pǒ, freq: 4318, HSK:n, struct:⿷)
31. ＿公好龙 (pinyin: yè, freq: 920, HSK:4, struct:⿰)
32. 一＿线 (pinyin: hào, freq: 487, HSK:1, struct:⿱)
33. 一家公＿ (pinyin: sī, freq: 278, HSK:1, struct:⿹)
34. 感＿不已 (pinyin: tàn, freq: 1299, HSK:+, struct:⿰)
35. 猫嘴＿着 (pinyin: diāo, freq: 3703, HSK:+, struct:⿰)
36. ＿＿喳喳 (pinyin: jī, freq: 3198, HSK:n, struct:⿰)
37. 呼＿大家 (pinyin: yù, freq: 2138, HSK:+, struct:⿰)
38. 出去＿饭 (pinyin: chī, freq: 475, HSK:1, struct:⿰)
39. ＿种＿样 (pinyin: gè, freq: 209, HSK:4, struct:⿱)
40. ＿喝一声 (pinyin: yāo, freq: 3551, HSK:n, struct:⿰)
41. 谢谢＿作 (pinyin: hé, freq: 171, HSK:3, struct:⿱)
42. ＿祥如意 (pinyin: jí, freq: 856, HSK:6, struct:⿱)
43. ＿车起重 (pinyin: diào, freq: 2050, HSK:6, struct:⿱)
44. 与此＿时 (pinyin: tóng, freq: 69, HSK:1, struct:⿵)
45. 什么＿字 (pinyin: míng, freq: 203, HSK:1, struct:⿸)
46. 最＿一次 (pinyin: hòu, freq: 48, HSK:1, struct:⿸)
47. 担任官＿ (pinyin: lì, freq: 2311, HSK:+, struct:⿻)
48. 吞吞＿＿ (pinyin: tù, freq: 1653, HSK:6, struct:⿰)
49. ＿他道歉 (pinyin: xiàng, freq: 146, HSK:3, struct:⿵)
50. 哪＿闹海 (pinyin: zha, freq: 5303, HSK:n, struct:⿰)
51. ＿我一跳 (pinyin: xià, freq: 1466, HSK:6, struct:⿰)
52. 三国＿布 (pinyin: Lǚ, freq: 1716, HSK:n, struct:⿱)
53. 你饿＿？ (pinyin: ma, freq: 453, HSK:1, struct:⿰)
54. 正人＿子 (pinyin: jūn, freq: 985, HSK:+, struct:⿸)
55. 非常＿啬 (pinyin: lìn, freq: 3507, HSK:+, struct:⿱)
56. 狼＿虎咽 (pinyin: tūn, freq: 1797, HSK:6, struct:⿱)
57. 呻＿着说 (pinyin: yín, freq: 2015, HSK:+, struct:⿰)
58. 小狗狂＿ (pinyin: fèi, freq: 3426, HSK:n, struct:⿰)
59. ＿定现实 (pinyin: fǒu, freq: 620, HSK:4, struct:⿱)
60. 我们走＿ (pinyin: ba, freq: 470, HSK:1, struct:⿰)
61. 千＿巨石 (pinyin: dūn, freq: 1700, HSK:5, struct:⿰)
62. 听从＿咐 (pinyin: fēn, freq: 2299, HSK:+, struct:⿰)
63. ＿义深刻 (pinyin: hán, freq: 937, HSK:5, struct:⿱)
64. ＿到声音 (pinyin: tīng, freq: 285, HSK:1, struct:⿰)
65. 一声不＿ (pinyin: kēng, freq: 3067, HSK:+, struct:⿰)
66. 吸＿母乳 (pinyin: shǔn, freq: 3699, HSK:n, struct:⿰)
67. 重＿电脑 (pinyin: qǐ, freq: 1320, HSK:6, struct:⿸)
68. ＿＿叫声 (pinyin: zī, freq: 2805, HSK:n, struct:⿰)
69. 三国东＿ (pinyin: Wú, freq: 1135, HSK:n, struct:⿱)
70. 夫妻＿架 (pinyin: chǎo, freq: 2040, HSK:5, struct:⿰)
71. ＿引客户 (pinyin: xī, freq: 924, HSK:4, struct:⿰)
72. ＿风机 (pinyin: chuī, freq: 1390, HSK:4, struct:⿰)
73. 不大＿合 (pinyin: wěn, freq: 1973, HSK:+, struct:⿰)
74. 向她怒＿ (pinyin: hǒu, freq: 2151, HSK:+, struct:⿰)
75. 维＿尔族 (pinyin: wú, freq: 1649, HSK:n, struct:⿱)
76. 哪儿＿？ (pinyin: ya, freq: 929, HSK:5, struct:⿰)
77. ＿逆不止 (pinyin: è, freq: 3173, HSK:n, struct:⿰)
78. ＿如木鸡 (pinyin: dāi, freq: 1338, HSK:6, struct:⿱)
79. ＿阳性 (pinyin: chéng, freq: 1563, HSK:6, struct:⿱)
80. 别＿诉他 (pinyin: gào, freq: 310, HSK:2, struct:⿱)
81. ＿喊助威 (pinyin: nà, freq: 2899, HSK:+, struct:⿰)
82. 梦中＿语 (pinyin: yì, freq: 4470, HSK:n, struct:⿰)
83. 恶心＿吐 (pinyin: ǒu, freq: 2855, HSK:+, struct:⿰)
84. 就算了＿ (pinyin: bei, freq: 3962, HSK:n, struct:⿰)
85. 政府官＿ (pinyin: yuán, freq: 200, HSK:3, struct:⿱)
86. 累得够＿ (pinyin: qiàng, freq: 3418, HSK:+, struct:⿰)
87. ＿＿地哭 (pinyin: wū, freq: 2572, HSK:+, struct:⿰)
88. 你＿？ (pinyin: ne, freq: 383, HSK:1, struct:⿰)
89. 哟：＿ (pinyin: yōu, freq: 5390, HSK:n, struct:⿰)
90. 众所＿知 (pinyin: zhōu, freq: 490, HSK:2, struct:⿵)
91. ＿＿坠地 (pinyin: gū, freq: 3476, HSK:n, struct:⿰)
92. 品尝＿道 (pinyin: wèi, freq: 844, HSK:4, struct:⿰)
93. “＿＿” (pinyin: hē, freq: 1861, HSK:+, struct:⿰)
94. ＿一口茶 (pinyin: xiā, freq: 4071, HSK:n, struct:⿰)
95. ＿＿＿！ (pinyin: pēi, freq: 3868, HSK:n, struct:⿰)
96. 痛苦＿吟 (pinyin: shēn, freq: 2929, HSK:+, struct:⿰)
97. ＿吸系统 (pinyin: hū, freq: 843, HSK:4, struct:⿰)
98. 救＿啊！ (pinyin: mìng, freq: 258, HSK:4, struct:⿱)
99. ＿嚼食物 (pinyin: jǔ, freq: 3498, HSK:+, struct:⿰)
100. 令人＿舌 (pinyin: zā, freq: 4167, HSK:n, struct:⿰)
