```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿朝＿夕 (pinyin: yī, freq: 2, HSK:1, struct:none)
36. ＿什么？ (pinyin: wèi, freq: 18, HSK:2, struct:⿻)
37. 社会＿义 (pinyin: zhǔ, freq: 87, HSK:2, struct:⿱)
38. 非常美＿ (pinyin: lì, freq: 834, HSK:3, struct:⿱)
39. 一＿一动 (pinyin: jǔ, freq: 586, HSK:2, struct:⿱)
40. 此＿天意 (pinyin: nǎi, freq: 1165, HSK:+, struct:⿹)
41. 好＿不见 (pinyin: jiǔ, freq: 637, HSK:2, struct:⿻)
42. 怎＿回事 (pinyin: me, freq: 63, HSK:1, struct:⿱)
43. 资本主＿ (pinyin: yì, freq: 208, HSK:3, struct:⿶)
44. 三天＿后 (pinyin: zhī, freq: 44, HSK:4, struct:⿱)
45. 一只＿鸦 (pinyin: wū, freq: 1244, HSK:6, struct:⿹)
46. ＿看之下 (pinyin: zhà, freq: 2914, HSK:n, struct:⿸)
47. 几＿所有 (pinyin: hū, freq: 458, HSK:4, struct:⿻)
48. 缺＿经验 (pinyin: fá, freq: 1399, HSK:5, struct:⿱)
49. 生日快＿ (pinyin: lè, freq: 619, HSK:2, struct:⿻)
50. ＿乓球 (pinyin: pīng, freq: 3447, HSK:+, struct:⿱)
51. 乒＿球 (pinyin: pāng, freq: 3502, HSK:+, struct:⿱)
52. ＿布斯 (pinyin: Qiáo, freq: 1488, HSK:+, struct:⿱)
53. 听话＿＿ (pinyin: guāi, freq: 2470, HSK:+, struct:⿻)
54. 各位＿客 (pinyin: chéng, freq: 1231, HSK:5, struct:⿻)
55. 甲＿丙丁 (pinyin: yǐ, freq: 1872, HSK:5, struct:none)
56. ＿牛一毛 (pinyin: jiǔ, freq: 445, HSK:1, struct:⿻)
57. ＿讨为生 (pinyin: qǐ, freq: 2429, HSK:+, struct:⿱)
58. ＿就是说 (pinyin: yě, freq: 31, HSK:1, struct:⿻)
59. 学＿中文 (pinyin: xí, freq: 676, HSK:1, struct:⿹)
60. 入＿随俗 (pinyin: xiāng, freq: 922, HSK:3, struct:none)
61. 一本＿ (pinyin: shū, freq: 282, HSK:1, struct:⿻)
62. ＿卖交易 (pinyin: mǎi, freq: 758, HSK:1, struct:⿱)
63. 思想混＿ (pinyin: luàn, freq: 765, HSK:3, struct:⿰)
64. 哺＿动物 (pinyin: rǔ, freq: 1831, HSK:6, struct:⿰)
65. ＿隆皇帝 (pinyin: qián, freq: 1999, HSK:n, struct:⿰)
66. 太贵＿！ (pinyin: le, freq: 5, HSK:1, struct:⿱)
67. 给＿支持 (pinyin: yǔ, freq: 925, HSK:6, struct:⿱)
68. 竞＿激烈 (pinyin: zhēng, freq: 344, HSK:3, struct:⿱)
69. 实＿求是 (pinyin: shì, freq: 58, HSK:1, struct:⿻)
70. 独一无＿ (pinyin: èr, freq: 157, HSK:1, struct:⿱)
71. 勇＿尝试 (pinyin: yú, freq: 40, HSK:2, struct:⿻)
72. 大额＿损 (pinyin: kuī, freq: 1738, HSK:5, struct:⿱)
73. ＿南昆明 (pinyin: Yún, freq: 692, HSK:2, struct:⿱)
74. ＿相帮助 (pinyin: hù, freq: 819, HSK:3, struct:⿱)
75. ＿星红旗 (pinyin: wǔ, freq: 279, HSK:1, struct:⿱)
76. 坐＿观天 (pinyin: jǐng, freq: 1431, HSK:6, struct:⿻)
77. ＿洲国家 (pinyin: Yà, freq: 420, HSK:4, struct:⿱)
78. 这＿年 (pinyin: xiē, freq: 86, HSK:1, struct:⿱)
79. ＿需解决 (pinyin: jí, freq: 3619, HSK:n, struct:⿱)
80. ＿羊补牢 (pinyin: wáng, freq: 957, HSK:6, struct:⿱)
81. 精神＿奋 (pinyin: kàng, freq: 3268, HSK:n, struct:⿱)
82. 文化＿流 (pinyin: jiāo, freq: 320, HSK:2, struct:⿱)
83. 辛＿革命 (pinyin: hài, freq: 3179, HSK:n, struct:⿳)
84. 反之＿然 (pinyin: yì, freq: 886, HSK:+, struct:⿱)
85. 共＿主义 (pinyin: chǎn, freq: 159, HSK:3, struct:⿳)
86. 我叫＿利 (pinyin: Hēng, freq: 2146, HSK:n, struct:⿳)
87. 一＿田 (pinyin: mǔ, freq: 2360, HSK:+, struct:⿱)
88. 和我分＿ (pinyin: xiǎng, freq: 1227, HSK:5, struct:⿳)
89. 北＿大学 (pinyin: jīng, freq: 566, HSK:1, struct:⿳)
90. 一座＿子 (pinyin: tíng, freq: 2002, HSK:+, struct:⿱)
91. 她很漂＿ (pinyin: liàng, freq: 840, HSK:2, struct:⿳)
92. 母＿节 (pinyin: qīn, freq: 362, HSK:3, struct:⿱)
93. ＿渎神明 (pinyin: xiè, freq: 3495, HSK:n, struct:⿳)
94. 风土＿情 (pinyin: rén, freq: 7, HSK:1, struct:none)
95. ＿万富翁 (pinyin: yì, freq: 1057, HSK:2, struct:⿰)
96. 这是＿么 (pinyin: shén, freq: 156, HSK:1, struct:⿰)
97. ＿义之心 (pinyin: rén, freq: 1360, HSK:+, struct:⿰)
98. 不＿＿是 (pinyin: jǐn, freq: 494, HSK:3, struct:⿰)
99. ＿人端茶 (pinyin: pú, freq: 1812, HSK:+, struct:⿰)
100. 满腔＿恨 (pinyin: chóu, freq: 1536, HSK:+, struct:⿰)
