```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 玩＿戏 (pinyin: yóu, freq: 695, HSK:2, struct:⿰)
48. 水上涟＿ (pinyin: yī, freq: 3676, HSK:n, struct:⿰)
49. 浪＿电影 (pinyin: màn, freq: 1455, HSK:4, struct:⿰)
50. 起床洗＿ (pinyin: shù, freq: 3402, HSK:6, struct:⿰)
51. 湖水荡＿ (pinyin: yàng, freq: 3697, HSK:+, struct:⿰)
52. ＿洒风度 (pinyin: xiāo, freq: 3216, HSK:+, struct:⿰)
53. ＿基文 (pinyin: Pān, freq: 2070, HSK:n, struct:⿰)
54. ＿移默化 (pinyin: qián, freq: 1112, HSK:6, struct:⿰)
55. 室内装＿ (pinyin: huáng, freq: 4551, HSK:n, struct:⿰)
56. 字迹＿草 (pinyin: liáo, freq: 3739, HSK:+, struct:⿰)
57. 一＿死水 (pinyin: tán, freq: 2750, HSK:+, struct:⿰)
58. 服装＿流 (pinyin: cháo, freq: 1302, HSK:6, struct:⿰)
59. ＿然泪下 (pinyin: shān, freq: 5126, HSK:n, struct:⿰)
60. ＿＿流水 (pinyin: chán, freq: 4033, HSK:n, struct:⿰)
61. ＿清误会 (pinyin: chéng, freq: 2756, HSK:+, struct:⿰)
62. 清＿见底 (pinyin: chè, freq: 3365, HSK:+, struct:⿲)
63. 汹涌＿湃 (pinyin: péng, freq: 3481, HSK:+, struct:⿰)
64. 波＿起伏 (pinyin: lán, freq: 2789, HSK:+, struct:⿰)
65. 洗＿刷牙 (pinyin: zǎo, freq: 2695, HSK:3, struct:⿰)
66. ＿大利亚 (pinyin: Ào, freq: 1627, HSK:n, struct:⿰)
67. 刺＿经济 (pinyin: jī, freq: 710, HSK:3, struct:⿰)
68. ＿临灭绝 (pinyin: bīn, freq: 3153, HSK:+, struct:⿰)
69. 相＿以沫 (pinyin: rú, freq: 4566, HSK:n, struct:⿰)
70. 高山＿布 (pinyin: pù, freq: 3195, HSK:+, struct:⿰)
71. 浩＿天空 (pinyin: hàn, freq: 3666, HSK:+, struct:⿰)
72. ＿洲秘境 (pinyin: yíng, freq: 3890, HSK:n, struct:⿰)
73. ＿溉用水 (pinyin: guàn, freq: 2077, HSK:+, struct:⿰)
74. 发射＿箭 (pinyin: huǒ, freq: 433, HSK:1, struct:⿻)
75. 消＿害虫 (pinyin: miè, freq: 953, HSK:6, struct:⿱)
76. 红绿＿ (pinyin: dēng, freq: 1115, HSK:3, struct:⿰)
77. ＿心丧气 (pinyin: huī, freq: 1311, HSK:5, struct:⿸)
78. 心＿鸡汤 (pinyin: líng, freq: 734, HSK:5, struct:⿱)
79. 厨房＿台 (pinyin: zào, freq: 2691, HSK:+, struct:⿰)
80. 针＿疗法 (pinyin: jiǔ, freq: 4024, HSK:+, struct:⿱)
81. 胃＿热 (pinyin: zhuó, freq: 2867, HSK:+, struct:⿰)
82. ＿难性的 (pinyin: zāi, freq: 1349, HSK:6, struct:⿱)
83. ＿烂辉煌 (pinyin: càn, freq: 2591, HSK:+, struct:⿰)
84. 隋＿帝 (pinyin: Yáng, freq: 4395, HSK:n, struct:⿰)
85. 厨房＿灶 (pinyin: lú, freq: 1980, HSK:+, struct:⿰)
86. 烟囱＿烟 (pinyin: chuī, freq: 3333, HSK:+, struct:⿰)
87. 伤口发＿ (pinyin: yán, freq: 1324, HSK:6, struct:⿱)
88. 蛋＿饭 (pinyin: chǎo, freq: 2590, HSK:5, struct:⿰)
89. 取暖＿炉 (pinyin: kàng, freq: 2975, HSK:n, struct:⿰)
90. 慢＿锅 (pinyin: dùn, freq: 3857, HSK:+, struct:⿰)
91. 残杯冷＿ (pinyin: zhì, freq: 3672, HSK:n, struct:⿱)
92. ＿炒青菜 (pinyin: qiàng, freq: 5423, HSK:n, struct:⿰)
93. ＿耀财富 (pinyin: xuàn, freq: 3292, HSK:+, struct:⿰)
94. 奥运火＿ (pinyin: jù, freq: 3429, HSK:+, struct:⿰)
95. 雪中送＿ (pinyin: tàn, freq: 2369, HSK:+, struct:⿱)
96. 放鞭＿ (pinyin: pào, freq: 914, HSK:+, struct:⿰)
97. ＿＿有神 (pinyin: jiǒng, freq: 2933, HSK:n, struct:⿰)
98. ＿耀光辉 (pinyin: bǐng, freq: 3227, HSK:n, struct:⿰)
99. ＿弹爆＿ (pinyin: zhà, freq: 976, HSK:5, struct:⿰)
100. 画龙＿睛 (pinyin: diǎn, freq: 128, HSK:1, struct:⿱)
