```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿桐树 (pinyin: wú, freq: 3356, HSK:n, struct:⿰)
42. 值得商＿ (pinyin: què, freq: 4380, HSK:n, struct:⿰)
43. 下＿酒店 (pinyin: tà, freq: 3033, HSK:n, struct:⿰)
44. 面容枯＿ (pinyin: gǎo, freq: 4428, HSK:n, struct:⿰)
45. 手握棒＿ (pinyin: chuí, freq: 4105, HSK:n, struct:⿰)
46. 北国＿树 (pinyin: huái, freq: 3120, HSK:+, struct:⿰)
47. 迈过门＿ (pinyin: kǎn, freq: 3379, HSK:+, struct:⿰)
48. 香＿酒 (pinyin: bīn, freq: 4036, HSK:n, struct:⿰)
49. 水＿漏水 (pinyin: cáo, freq: 2993, HSK:+, struct:⿰)
50. ＿梅生 (pinyin: Fán, freq: 3282, HSK:n, struct:⿱)
51. 飞行＿式 (pinyin: mó, freq: 689, HSK:5, struct:⿰)
52. 纵＿交错 (pinyin: héng, freq: 1330, HSK:6, struct:⿰)
53. 红＿桃 (pinyin: yīng, freq: 2781, HSK:n, struct:⿰)
54. ＿夫砍柴 (pinyin: qiáo, freq: 3386, HSK:n, struct:⿰)
55. ＿榄枝 (pinyin: gǎn, freq: 3493, HSK:n, struct:⿰)
56. 狗拉雪＿ (pinyin: qiāo, freq: 4006, HSK:n, struct:⿰)
57. 柑＿果 (pinyin: jú, freq: 3614, HSK:5, struct:⿰)
58. 新鲜＿汁 (pinyin: chéng, freq: 3571, HSK:5, struct:⿰)
59. ＿胶轮胎 (pinyin: xiàng, freq: 2871, HSK:5, struct:⿰)
60. 在＿柜里 (pinyin: chú, freq: 3041, HSK:+, struct:⿰)
61. 屋＿滴水 (pinyin: yán, freq: 3102, HSK:+, struct:⿰)
62. ＿条支撑 (pinyin: lǐn, freq: 5662, HSK:n, struct:⿰)
63. 柠＿酸 (pinyin: méng, freq: 3939, HSK:n, struct:⿰)
64. ＿债还钱 (pinyin: qiàn, freq: 1948, HSK:5, struct:⿱)
65. 这＿活动 (pinyin: cì, freq: 183, HSK:2, struct:⿰)
66. 我喜＿你 (pinyin: huān, freq: 685, HSK:1, struct:⿰)
67. ＿＿向荣 (pinyin: xīn, freq: 1523, HSK:5, struct:⿰)
68. ＿洲国家 (pinyin: Ōu, freq: 823, HSK:5, struct:⿰)
69. ＿罢不能 (pinyin: yù, freq: 1045, HSK:6, struct:⿰)
70. ＿，等等 (pinyin: éi, freq: n, HSK:n, struct:⿰)
71. ＿负弱小 (pinyin: qī, freq: 1699, HSK:6, struct:⿰)
72. 贷＿利息 (pinyin: kuǎn, freq: 807, HSK:5, struct:⿰)
73. ＿脚休息 (pinyin: xiē, freq: 1828, HSK:6, struct:⿰)
74. 向他道＿ (pinyin: qiàn, freq: 2149, HSK:4, struct:⿰)
75. 一首＿曲 (pinyin: gē, freq: 1040, HSK:1, struct:⿰)
76. 禁＿停车 (pinyin: zhǐ, freq: 596, HSK:4, struct:⿻)
77. 恢复＿常 (pinyin: zhèng, freq: 129, HSK:1, struct:⿱)
78. 由＿可见 (pinyin: cǐ, freq: 116, HSK:4, struct:⿰)
79. 进一＿ (pinyin: bù, freq: 349, HSK:2, struct:⿱)
80. 挥舞＿器 (pinyin: wǔ, freq: 501, HSK:5, struct:⿹)
81. 意见分＿ (pinyin: qí, freq: 2071, HSK:+, struct:⿰)
82. ＿曲事实 (pinyin: wāi, freq: 2239, HSK:6, struct:⿱)
83. 持枪＿徒 (pinyin: dǎi, freq: 2905, HSK:+, struct:⿱)
84. ＿于癌症 (pinyin: sǐ, freq: 317, HSK:4, struct:⿸)
85. ＿灭敌人 (pinyin: jiān, freq: 1815, HSK:+, struct:⿰)
86. 连连遭＿ (pinyin: yāng, freq: 3562, HSK:+, struct:⿰)
87. 百战不＿ (pinyin: dài, freq: 3142, HSK:n, struct:⿰)
88. 以身＿国 (pinyin: xùn, freq: 3303, HSK:n, struct:⿰)
89. 特＿情况 (pinyin: shū, freq: 1191, HSK:5, struct:⿰)
90. ＿疾人 (pinyin: cán, freq: 1150, HSK:6, struct:⿰)
91. ＿身不恤 (pinyin: yǔn, freq: 4590, HSK:n, struct:⿰)
92. 入＿安葬 (pinyin: liàn, freq: 4461, HSK:n, struct:⿰)
93. ＿民地 (pinyin: zhí, freq: 1438, HSK:6, struct:⿰)
94. ＿精竭虑 (pinyin: dān, freq: 5170, HSK:n, struct:⿰)
95. ＿葬习俗 (pinyin: bìn, freq: 3965, HSK:n, struct:⿰)
96. 遭到＿打 (pinyin: ōu, freq: 3354, HSK:+, struct:⿰)
97. 第一阶＿ (pinyin: duàn, freq: 567, HSK:3, struct:⿰)
98. ＿勤招待 (pinyin: yīn, freq: 2365, HSK:+, struct:⿰)
99. 古老宫＿ (pinyin: diàn, freq: 1555, HSK:+, struct:⿰)
100. 濒临＿灭 (pinyin: huǐ, freq: 1160, HSK:+, struct:⿰)
