```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 服＿周到 (pinyin: wù, freq: 245, HSK:3, struct:⿱)
36. 黑＿子 (pinyin: xiá, freq: 3061, HSK:n, struct:⿷)
37. 受益＿浅 (pinyin: fěi, freq: 2201, HSK:+, struct:⿷)
38. 信息＿乏 (pinyin: kuì, freq: 3727, HSK:n, struct:⿷)
39. 一＿马 (pinyin: pǐ, freq: 1908, HSK:5, struct:⿷)
40. 地理＿域 (pinyin: qū, freq: 265, HSK:3, struct:⿷)
41. 他住＿院 (pinyin: yī, freq: 482, HSK:1, struct:⿷)
42. 挂上牌＿ (pinyin: biǎn, freq: 3501, HSK:n, struct:⿷)
43. ＿名评论 (pinyin: nì, freq: 2804, HSK:+, struct:⿷)
44. ＿有八九 (pinyin: shí, freq: 112, HSK:1, struct:⿻)
45. ＿里马 (pinyin: qiān, freq: 599, HSK:1, struct:⿱)
46. 五＿运动 (pinyin: sà, freq: 4090, HSK:n, struct:⿻)
47. 上＿趋势 (pinyin: shēng, freq: 837, HSK:5, struct:⿱)
48. 下＿两点 (pinyin: wǔ, freq: 1004, HSK:1, struct:⿱)
49. 花＿展览 (pinyin: huì, freq: 3341, HSK:+, struct:⿱)
50. ＿信＿疑 (pinyin: bàn, freq: 513, HSK:1, struct:⿻)
51. 新＿社 (pinyin: huá, freq: 412, HSK:5, struct:⿱)
52. 达成＿议 (pinyin: xié, freq: 735, HSK:5, struct:⿰)
53. 自＿感 (pinyin: bēi, freq: 2059, HSK:+, struct:⿱)
54. 身先士＿ (pinyin: zú, freq: 2584, HSK:n, struct:⿱)
55. ＿尔不群 (pinyin: zhuó, freq: 1942, HSK:+, struct:⿱)
56. 太简＿了 (pinyin: dān, freq: 389, HSK:3, struct:⿱)
57. 房产拍＿ (pinyin: mài, freq: 974, HSK:1, struct:⿱)
58. ＿方航空 (pinyin: Nán, freq: 307, HSK:3, struct:⿱)
59. ＿大精深 (pinyin: bó, freq: 965, HSK:4, struct:⿰)
60. 萝＿青菜 (pinyin: bo, freq: 1979, HSK:+, struct:⿻)
61. ＿之琳 (pinyin: Biàn, freq: 4534, HSK:n, struct:⿱)
62. ＿有优势 (pinyin: zhàn, freq: 737, HSK:5, struct:⿱)
63. 信用＿ (pinyin: kǎ, freq: 717, HSK:3, struct:⿱)
64. ＿卡斯 (pinyin: Lú, freq: 1711, HSK:n, struct:⿱)
65. ＿水鸡蛋 (pinyin: lǔ, freq: 3747, HSK:+, struct:⿱)
66. 易经八＿ (pinyin: guà, freq: 3119, HSK:+, struct:⿰)
67. ＿虎藏龙 (pinyin: wò, freq: 1944, HSK:5, struct:⿰)
68. ＿生间 (pinyin: wèi, freq: 669, HSK:3, struct:⿱)
69. 子午＿酉 (pinyin: mǎo, freq: 3926, HSK:n, struct:⿰)
70. 打＿机 (pinyin: yìn, freq: 640, HSK:4, struct:⿰)
71. 远离＿险 (pinyin: wēi, freq: 826, HSK:4, struct:⿸)
72. ＿将开始 (pinyin: jí, freq: 293, HSK:4, struct:⿰)
73. 咖啡冷＿ (pinyin: què, freq: 287, HSK:4, struct:⿰)
74. 未受精＿ (pinyin: luǎn, freq: 2008, HSK:+, struct:⿰)
75. 数学考＿ (pinyin: juàn, freq: 1016, HSK:5, struct:⿱)
76. ＿载货物 (pinyin: xiè, freq: 2479, HSK:+, struct:⿰)
77. 国务＿ (pinyin: qīng, freq: 2029, HSK:n, struct:⿲)
78. 制造工＿ (pinyin: chǎng, freq: 963, HSK:4, struct:none)
79. 驱赶＿运 (pinyin: è, freq: 2407, HSK:+, struct:⿸)
80. 学生餐＿ (pinyin: tīng, freq: 1217, HSK:4, struct:⿸)
81. ＿史悠久 (pinyin: lì, freq: 480, HSK:3, struct:⿸)
82. 再接再＿ (pinyin: lì, freq: 1339, HSK:4, struct:⿸)
83. 施加＿力 (pinyin: yā, freq: 756, HSK:4, struct:⿸)
84. 讨＿死了 (pinyin: yàn, freq: 1633, HSK:4, struct:⿸)
85. 男＿所 (pinyin: cè, freq: 2920, HSK:4, struct:⿸)
86. 一百＿米 (pinyin: lí, freq: 2262, HSK:5, struct:⿸)
87. 得天独＿ (pinyin: hòu, freq: 1235, HSK:4, struct:⿸)
88. ＿来如此 (pinyin: yuán, freq: 193, HSK:4, struct:⿸)
89. 二等车＿ (pinyin: xiāng, freq: 2467, HSK:5, struct:⿸)
90. 昏＿过去 (pinyin: jué, freq: 2755, HSK:n, struct:⿸)
91. 高楼大＿ (pinyin: shà, freq: 2264, HSK:5, struct:⿸)
92. ＿房水槽 (pinyin: chú, freq: 2132, HSK:4, struct:⿸)
93. 在马＿里 (pinyin: jiù, freq: 4181, HSK:n, struct:⿸)
94. 两军＿杀 (pinyin: sī, freq: 3114, HSK:n, struct:⿸)
95. 我＿洗澡 (pinyin: qù, freq: 64, HSK:1, struct:⿱)
96. 沙＿小吃 (pinyin: xiàn, freq: 877, HSK:5, struct:⿱)
97. 壹贰＿肆 (pinyin: sān, freq: 4396, HSK:n, struct:⿳)
98. ＿差不齐 (pinyin: cēn, freq: 507, HSK:3, struct:⿳)
99. 你＿来了 (pinyin: yòu, freq: 126, HSK:3, struct:none)
100. 交＿双臂 (pinyin: chā, freq: 2231, HSK:5, struct:⿴)
