```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 坚＿如石 (pinyin: yìng, freq: 1170, HSK:5, struct:⿰)
26. 硫＿气味 (pinyin: huáng, freq: 3547, HSK:n, struct:⿰)
27. 珊瑚＿ (pinyin: jiāo, freq: 2952, HSK:+, struct:⿰)
28. 大气磅＿ (pinyin: bó, freq: 4856, HSK:n, struct:⿰)
29. 表＿感谢 (pinyin: shì, freq: 425, HSK:4, struct:⿱)
30. 毕业典＿ (pinyin: lǐ, freq: 926, HSK:3, struct:⿰)
31. ＿会主义 (pinyin: shè, freq: 270, HSK:4, struct:⿰)
32. 祭＿仪式 (pinyin: sì, freq: 3123, HSK:+, struct:⿰)
33. ＿宏球员 (pinyin: Qí, freq: 3477, HSK:n, struct:⿰)
34. ＿求平安 (pinyin: qí, freq: 2443, HSK:+, struct:⿰)
35. 人民福＿ (pinyin: zhǐ, freq: 4484, HSK:n, struct:⿰)
36. 保卫＿国 (pinyin: zǔ, freq: 1025, HSK:6, struct:⿰)
37. ＿眼袋 (pinyin: qū, freq: 4176, HSK:n, struct:⿰)
38. 拉＿族 (pinyin: hù, freq: 4988, HSK:n, struct:⿰)
39. ＿你好运 (pinyin: zhù, freq: 1651, HSK:4, struct:⿰)
40. 其中精＿ (pinyin: shén, freq: 227, HSK:5, struct:⿰)
41. 从中作＿ (pinyin: suì, freq: 3414, HSK:n, struct:⿱)
42. 陈家＿堂 (pinyin: cí, freq: 3319, HSK:n, struct:⿰)
43. 吉＿如意 (pinyin: xiáng, freq: 1674, HSK:6, struct:⿰)
44. 买飞机＿ (pinyin: piào, freq: 910, HSK:2, struct:⿱)
45. ＿祀仪式 (pinyin: jì, freq: 1782, HSK:+, struct:⿱)
46. 默默祈＿ (pinyin: dǎo, freq: 2483, HSK:+, struct:⿰)
47. 一场车＿ (pinyin: huò, freq: 1870, HSK:5, struct:⿰)
48. 向上＿报 (pinyin: bǐng, freq: 2945, HSK:n, struct:⿳)
49. ＿止吸烟 (pinyin: jìn, freq: 986, HSK:4, struct:⿱)
50. 福＿寿喜 (pinyin: lù, freq: 2381, HSK:n, struct:⿰)
51. ＿宗佛教 (pinyin: chán, freq: 2196, HSK:+, struct:⿰)
52. 幸＿美满 (pinyin: fú, freq: 683, HSK:4, struct:⿰)
53. 慈＿太后 (pinyin: Xǐ, freq: 2085, HSK:n, struct:⿰)
54. 大＿治水 (pinyin: Yǔ, freq: 2889, HSK:n, struct:⿻)
55. 曹＿作品 (pinyin: Yú, freq: 3056, HSK:n, struct:⿱)
56. 形影不＿ (pinyin: lí, freq: 418, HSK:2, struct:⿱)
57. 飞＿走兽 (pinyin: qín, freq: 2562, HSK:+, struct:⿱)
58. 种植＿苗 (pinyin: hé, freq: 3587, HSK:+, struct:⿱)
59. 优＿学生 (pinyin: xiù, freq: 1136, HSK:4, struct:⿱)
60. 侵犯隐＿ (pinyin: sī, freq: 1023, HSK:5, struct:⿰)
61. ＿头前兆 (pinyin: tū, freq: 2521, HSK:+, struct:⿱)
62. 小麦秸＿ (pinyin: gǎn, freq: 4132, HSK:n, struct:⿰)
63. ＿承传统 (pinyin: bǐng, freq: 2809, HSK:+, struct:⿻)
64. 春夏＿冬 (pinyin: qiū, freq: 1151, HSK:3, struct:⿰)
65. 各＿各样 (pinyin: zhǒng, freq: 57, HSK:3, struct:⿰)
66. ＿学证据 (pinyin: kē, freq: 277, HSK:4, struct:⿰)
67. 最后一＿ (pinyin: miǎo, freq: 2028, HSK:4, struct:⿰)
68. 尘垢＿糠 (pinyin: bǐ, freq: 6313, HSK:n, struct:⿰)
69. 保守＿密 (pinyin: mì, freq: 896, HSK:5, struct:⿰)
70. 出＿车 (pinyin: zū, freq: 1397, HSK:1, struct:⿰)
71. 天＿座 (pinyin: chèng, freq: 3737, HSK:+, struct:⿰)
72. ＿始皇 (pinyin: Qín, freq: 1394, HSK:n, struct:⿱)
73. 水稻＿苗 (pinyin: yāng, freq: 3522, HSK:+, struct:⿰)
74. 保持＿序 (pinyin: zhì, freq: 1749, HSK:6, struct:⿰)
75. 高粱＿米 (pinyin: shú, freq: 5884, HSK:n, struct:⿰)
76. ＿累经验 (pinyin: jī, freq: 728, HSK:4, struct:⿰)
77. 被＿为 (pinyin: chēng, freq: 449, HSK:5, struct:⿰)
78. 小麦＿秆 (pinyin: jiē, freq: 3840, HSK:n, struct:⿰)
79. ＿民签证 (pinyin: yí, freq: 880, HSK:5, struct:⿰)
80. 淫＿物品 (pinyin: huì, freq: 3096, HSK:+, struct:⿰)
81. 人烟＿少 (pinyin: xī, freq: 1788, HSK:+, struct:⿰)
82. 编＿语言 (pinyin: chéng, freq: 314, HSK:4, struct:⿰)
83. ＿微有点 (pinyin: shāo, freq: 1373, HSK:4, struct:⿰)
84. 免＿商店 (pinyin: shuì, freq: 781, HSK:5, struct:⿰)
85. 太幼＿了 (pinyin: zhì, freq: 2720, HSK:+, struct:⿰)
86. 人口＿密 (pinyin: chóu, freq: 3367, HSK:+, struct:⿰)
87. 耶＿爱你 (pinyin: sū, freq: 2292, HSK:n, struct:⿰)
88. ＿定增长 (pinyin: wěn, freq: 1055, HSK:5, struct:⿰)
89. 黍＿稻梁 (pinyin: jì, freq: 3887, HSK:n, struct:⿰)
90. 水＿田 (pinyin: dào, freq: 2529, HSK:6, struct:⿰)
91. 收获庄＿ (pinyin: jià, freq: 2800, HSK:6, struct:⿰)
92. 滑＿可笑 (pinyin: jī, freq: 2427, HSK:+, struct:⿰)
93. 提交＿件 (pinyin: gǎo, freq: 1587, HSK:6, struct:⿰)
94. ＿斯林 (pinyin: mù, freq: 1683, HSK:n, struct:⿰)
95. 玉米＿ (pinyin: suì, freq: 3378, HSK:n, struct:⿰)
96. 洞＿壁画 (pinyin: xué, freq: 1940, HSK:+, struct:⿱)
97. 研＿课题 (pinyin: jiū, freq: 429, HSK:4, struct:⿱)
98. 无＿无尽 (pinyin: qióng, freq: 1343, HSK:5, struct:⿱)
99. 浩渺苍＿ (pinyin: qióng, freq: 3521, HSK:n, struct:⿱)
100. 航＿公司 (pinyin: kōng, freq: 272, HSK:3, struct:⿱)
