```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 政治动＿ (pinyin: dàng, freq: 1424, HSK:+, struct:⿱)
26. 细＿感染 (pinyin: jūn, freq: 1733, HSK:6, struct:⿱)
27. 蔬＿水果 (pinyin: cài, freq: 1266, HSK:1, struct:⿱)
28. ＿萝汁 (pinyin: bō, freq: 4540, HSK:n, struct:⿱)
29. 观音＿萨 (pinyin: Pú, freq: 2209, HSK:+, struct:⿱)
30. 三＿汽车 (pinyin: líng, freq: 2802, HSK:n, struct:⿱)
31. ＿律宾 (pinyin: Fēi, freq: 1418, HSK:n, struct:⿱)
32. 精英荟＿ (pinyin: cuì, freq: 3503, HSK:n, struct:⿱)
33. 葡＿酒 (pinyin: táo, freq: 2210, HSK:4, struct:⿱)
34. ＿芽阶段 (pinyin: méng, freq: 2879, HSK:+, struct:⿱)
35. ＿水相逢 (pinyin: píng, freq: 2180, HSK:+, struct:⿱)
36. 花枯＿了 (pinyin: wěi, freq: 2757, HSK:+, struct:⿱)
37. 白＿卜 (pinyin: luó, freq: 2745, HSK:+, struct:⿱)
38. ＿火虫 (pinyin: yíng, freq: 3434, HSK:n, struct:⿱)
39. 经＿商店 (pinyin: yíng, freq: 536, HSK:5, struct:⿱)
40. ＿绕于心 (pinyin: yíng, freq: 3903, HSK:n, struct:⿳)
41. 大＿条 (pinyin: xiāo, freq: 1898, HSK:+, struct:⿱)
42. ＿克斯 (pinyin: sà, freq: 1046, HSK:+, struct:⿱)
43. 水＿石出 (pinyin: luò, freq: 496, HSK:4, struct:⿱)
44. 永＿青春 (pinyin: bǎo, freq: 3988, HSK:n, struct:⿱)
45. ＿名作家 (pinyin: zhù, freq: 777, HSK:4, struct:⿱)
46. 诸＿亮 (pinyin: gé, freq: 1919, HSK:n, struct:⿱)
47. ＿萄牙 (pinyin: Pú, freq: 2130, HSK:4, struct:⿱)
48. ＿事会 (pinyin: dǒng, freq: 1629, HSK:+, struct:⿱)
49. 奇＿异彩 (pinyin: pā, freq: 5158, HSK:n, struct:⿱)
50. 糖＿芦 (pinyin: hú, freq: 3246, HSK:n, struct:⿱)
51. 埋＿死者 (pinyin: zàng, freq: 2060, HSK:+, struct:⿳)
52. ＿油饼 (pinyin: cōng, freq: 2907, HSK:+, struct:⿱)
53. 向日＿ (pinyin: kuí, freq: 3580, HSK:n, struct:⿱)
54. 根深＿固 (pinyin: dì, freq: 1429, HSK:+, struct:⿱)
55. ＿欣演员 (pinyin: Jiǎng, freq: 1172, HSK:n, struct:⿱)
56. 内＿古 (pinyin: méng, freq: 1039, HSK:+, struct:⿱)
57. 鸡毛＿皮 (pinyin: suàn, freq: 3444, HSK:+, struct:⿱)
58. ＿公英 (pinyin: pú, freq: 2344, HSK:n, struct:⿱)
59. 水＿发完 (pinyin: zhēng, freq: 2358, HSK:+, struct:⿱)
60. 茼＿菜 (pinyin: hāo, freq: 4305, HSK:n, struct:⿱)
61. 储＿账户 (pinyin: xù, freq: 1985, HSK:6, struct:⿱)
62. 芙＿花 (pinyin: róng, freq: 2779, HSK:n, struct:⿱)
63. 草编＿衣 (pinyin: suō, freq: 4481, HSK:n, struct:⿱)
64. 含苞＿蕾 (pinyin: bèi, freq: 3922, HSK:n, struct:⿱)
65. ＿麻油 (pinyin: bì, freq: 4955, HSK:n, struct:⿳)
66. ＿天白云 (pinyin: lán, freq: 1190, HSK:3, struct:⿱)
67. ＿然回首 (pinyin: mò, freq: 3160, HSK:n, struct:⿱)
68. 朝气＿勃 (pinyin: péng, freq: 2398, HSK:+, struct:⿱)
69. 轻＿一笑 (pinyin: miè, freq: 2575, HSK:+, struct:⿱)
70. ＿延全国 (pinyin: màn, freq: 2829, HSK:+, struct:⿱)
71. 榨甘＿汁 (pinyin: zhè, freq: 3945, HSK:n, struct:⿱)
72. ＿蓝天空 (pinyin: wèi, freq: 3188, HSK:+, struct:⿱)
73. ＿国强 (pinyin: Cài, freq: 2226, HSK:n, struct:⿱)
74. 花卉萎＿ (pinyin: niān, freq: 4737, HSK:n, struct:⿱)
75. ＿菜水果 (pinyin: shū, freq: 2721, HSK:5, struct:⿱)
76. 和＿可亲 (pinyin: ǎi, freq: 3460, HSK:+, struct:⿱)
77. 隐＿位置 (pinyin: bì, freq: 2121, HSK:+, struct:⿱)
78. 番：＿ (pinyin: fān, freq: 3646, HSK:n, struct:⿱)
79. 香＿皮 (pinyin: jiāo, freq: 3104, HSK:3, struct:⿱)
80. 花心花＿ (pinyin: ruǐ, freq: 3265, HSK:n, struct:⿱)
81. ＿类植物 (pinyin: jué, freq: 4289, HSK:n, struct:⿱)
82. ＿含深意 (pinyin: yùn, freq: 2633, HSK:+, struct:⿱)
83. 芭＿舞 (pinyin: lěi, freq: 3329, HSK:+, struct:⿱)
84. ＿弱环节 (pinyin: bó, freq: 1433, HSK:5, struct:⿱)
85. 赵＿歌曲 (pinyin: Wēi, freq: 3193, HSK:n, struct:⿱)
86. ＿宝钗 (pinyin: Xuē, freq: 1953, HSK:n, struct:⿱)
87. 工资＿水 (pinyin: xīn, freq: 2167, HSK:6, struct:⿱)
88. 炸鱼＿条 (pinyin: shǔ, freq: 3363, HSK:6, struct:⿱)
89. ＿衣草 (pinyin: xūn, freq: 4055, HSK:n, struct:⿱)
90. 一片狼＿ (pinyin: jí, freq: 2615, HSK:n, struct:⿱)
91. 收＿古董 (pinyin: cáng, freq: 907, HSK:5, struct:⿱)
92. ＿视权威 (pinyin: miǎo, freq: 3755, HSK:+, struct:⿱)
93. 苔＿植物 (pinyin: xiǎn, freq: 4187, HSK:n, struct:⿱)
94. 莲＿粥 (pinyin: ǒu, freq: 3920, HSK:n, struct:⿱)
95. 顺＿摸瓜 (pinyin: téng, freq: 2200, HSK:+, struct:⿱)
96. 破除＿篱 (pinyin: fān, freq: 2622, HSK:n, struct:⿱)
97. 海＿丛生 (pinyin: zǎo, freq: 2652, HSK:+, struct:⿱)
98. 野生＿菇 (pinyin: mó, freq: 3528, HSK:+, struct:⿱)
99. 面包＿汤 (pinyin: zhàn, freq: 3944, HSK:+, struct:⿱)
100. 骑＿难下 (pinyin: hǔ, freq: 1083, HSK:4, struct:⿸)
