```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 剪枝打＿ (pinyin: chā, freq: 4529, HSK:n, struct:⿰)
38. ＿燥无味 (pinyin: kū, freq: 2188, HSK:6, struct:⿰)
39. ＿实药材 (pinyin: zhǐ, freq: 5304, HSK:n, struct:⿰)
40. 一＿飞机 (pinyin: jià, freq: 846, HSK:5, struct:⿱)
41. 挣脱＿锁 (pinyin: jiā, freq: 3663, HSK:n, struct:⿰)
42. ＿杞浆果 (pinyin: gǒu, freq: 4578, HSK:n, struct:⿰)
43. 手握剑＿ (pinyin: bǐng, freq: 2241, HSK:+, struct:⿰)
44. 德国＿林 (pinyin: Bó, freq: 1596, HSK:+, struct:⿰)
45. 陈＿＿ (pinyin: mǒu, freq: 517, HSK:5, struct:⿱)
46. ＿橘果皮 (pinyin: gān, freq: 4276, HSK:n, struct:⿰)
47. 李子＿ (pinyin: qī, freq: 6786, HSK:n, struct:⿱)
48. 感＿了我 (pinyin: rǎn, freq: 1141, HSK:4, struct:⿱)
49. 温＿地吻 (pinyin: róu, freq: 1573, HSK:6, struct:⿱)
50. ＿子汁 (pinyin: yòu, freq: 4553, HSK:n, struct:⿰)
51. 床头＿ (pinyin: guì, freq: 1994, HSK:5, struct:⿰)
52. ＿檬很酸 (pinyin: níng, freq: 4252, HSK:n, struct:⿰)
53. 安全检＿ (pinyin: chá, freq: 459, HSK:3, struct:⿱)
54. 灵＿停放 (pinyin: jiù, freq: 4568, HSK:n, struct:⿰)
55. 婚礼请＿ (pinyin: jiǎn, freq: 3047, HSK:+, struct:⿻)
56. ＿达公司 (pinyin: Kē, freq: 1903, HSK:n, struct:⿰)
57. 经济支＿ (pinyin: zhù, freq: 1691, HSK:+, struct:⿰)
58. 杨＿依依 (pinyin: liǔ, freq: 1557, HSK:+, struct:⿰)
59. 燃烧木＿ (pinyin: chái, freq: 1981, HSK:6, struct:⿱)
60. 西红＿ (pinyin: shì, freq: 3355, HSK:4, struct:⿰)
61. 跃过＿栏 (pinyin: zhà, freq: 2995, HSK:n, struct:⿰)
62. ＿点符号 (pinyin: biāo, freq: 473, HSK:4, struct:⿰)
63. 路边客＿ (pinyin: zhàn, freq: 3192, HSK:n, struct:⿰)
64. 一＿楼 (pinyin: dòng, freq: 2710, HSK:6, struct:⿰)
65. 杂志＿目 (pinyin: lán, freq: 2101, HSK:6, struct:⿰)
66. 一棵＿ (pinyin: shù, freq: 697, HSK:3, struct:⿰)
67. 消火＿ (pinyin: shuān, freq: 2938, HSK:n, struct:⿰)
68. ＿息地 (pinyin: qī, freq: 2460, HSK:+, struct:⿰)
69. 糖炒＿子 (pinyin: lì, freq: 2595, HSK:n, struct:⿱)
70. 高等学＿ (pinyin: xiào, freq: 633, HSK:1, struct:⿰)
71. ＿＿如生 (pinyin: xǔ, freq: 3743, HSK:n, struct:⿰)
72. 守＿待兔 (pinyin: zhū, freq: 2482, HSK:6, struct:⿰)
73. 一模一＿ (pinyin: yàng, freq: 88, HSK:1, struct:⿰)
74. ＿武器 (pinyin: hé, freq: 828, HSK:6, struct:⿰)
75. ＿深蒂固 (pinyin: gēn, freq: 352, HSK:3, struct:⿰)
76. 性＿开朗 (pinyin: gé, freq: 325, HSK:4, struct:⿰)
77. ＿培植物 (pinyin: zāi, freq: 2401, HSK:+, struct:⿹)
78. ＿骜不驯 (pinyin: jié, freq: 4097, HSK:n, struct:⿱)
79. ＿林山水 (pinyin: Guì, freq: 1930, HSK:+, struct:⿰)
80. 樱＿梗 (pinyin: táo, freq: 1839, HSK:5, struct:⿰)
81. 船的＿杆 (pinyin: wéi, freq: 3558, HSK:n, struct:⿰)
82. ＿架结构 (pinyin: kuāng, freq: 2144, HSK:+, struct:⿰)
83. 诉讼＿件 (pinyin: àn, freq: 518, HSK:4, struct:⿱)
84. 书＿抽屉 (pinyin: zhuō, freq: 1193, HSK:1, struct:⿱)
85. 梧＿树 (pinyin: tóng, freq: 2712, HSK:n, struct:⿰)
86. 沧海＿田 (pinyin: sāng, freq: 1528, HSK:+, struct:⿱)
87. 盘＿不前 (pinyin: huán, freq: 2541, HSK:n, struct:⿰)
88. 橘：＿ (pinyin: jú, freq: 3304, HSK:n, struct:⿰)
89. 病历＿案 (pinyin: dàng, freq: 1787, HSK:5, struct:⿰)
90. 过河拆＿ (pinyin: qiáo, freq: 1292, HSK:4, struct:⿰)
91. 白＿树 (pinyin: huà, freq: 3856, HSK:n, struct:⿰)
92. 用＿划船 (pinyin: jiǎng, freq: 2939, HSK:+, struct:⿱)
93. 拔除树＿ (pinyin: zhuāng, freq: 2491, HSK:+, struct:⿰)
94. 垃圾＿里 (pinyin: tǒng, freq: 2411, HSK:4, struct:⿰)
95. 桥＿跨度 (pinyin: liáng, freq: 1416, HSK:6, struct:⿱)
96. 酸＿汤 (pinyin: méi, freq: 1159, HSK:6, struct:⿰)
97. ＿子乐器 (pinyin: bāng, freq: 4062, HSK:n, struct:⿰)
98. 心肌＿塞 (pinyin: gěng, freq: 2919, HSK:n, struct:⿰)
99. 在树＿上 (pinyin: shāo, freq: 2785, HSK:+, struct:⿰)
100. ＿想成真 (pinyin: mèng, freq: 865, HSK:4, struct:⿱)
