```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 雪上加＿ (pinyin: shuāng, freq: 2631, HSK:+, struct:⿱)
55. 情绪＿废 (pinyin: tuí, freq: 2996, HSK:+, struct:⿰)
56. ＿首点头 (pinyin: hàn, freq: 4158, HSK:n, struct:⿰)
57. 脱＿而出 (pinyin: yǐng, freq: 2514, HSK:6, struct:⿰)
58. 一＿好心 (pinyin: kē, freq: 1448, HSK:5, struct:⿰)
59. 环境问＿ (pinyin: tí, freq: 218, HSK:1, struct:⿺)
60. 下＿骨 (pinyin: è, freq: 3996, HSK:n, struct:⿰)
61. 五＿六色 (pinyin: yán, freq: 1545, HSK:2, struct:⿰)
62. 全部金＿ (pinyin: é, freq: 936, HSK:6, struct:⿰)
63. ＿倒黑白 (pinyin: diān, freq: 2134, HSK:+, struct:⿰)
64. 身体＿抖 (pinyin: chàn, freq: 1900, HSK:+, struct:⿰)
65. 东施效＿ (pinyin: pín, freq: 4851, HSK:n, struct:⿱)
66. ＿骨突出 (pinyin: quán, freq: 4593, HSK:n, struct:⿰)
67. ＿和日丽 (pinyin: fēng, freq: 348, HSK:3, struct:⿵)
68. 树叶＿＿ (pinyin: sà, freq: 4300, HSK:n, struct:⿰)
69. ＿风来袭 (pinyin: jù, freq: 4112, HSK:n, struct:⿺)
70. 寒风＿＿ (pinyin: sōu, freq: 4266, HSK:n, struct:⿺)
71. 雪花＿舞 (pinyin: piāo, freq: 1527, HSK:6, struct:⿰)
72. 价格＿升 (pinyin: biāo, freq: 4091, HSK:+, struct:⿰)
73. 飙：＿ (pinyin: biāo, freq: 4992, HSK:n, struct:⿺)
74. ＿机降落 (pinyin: fēi, freq: 347, HSK:1, struct:⿻)
75. 素＿主义 (pinyin: shí, freq: 671, HSK:4, struct:⿱)
76. 设宴＿宾 (pinyin: xiǎng, freq: 4724, HSK:n, struct:⿰)
77. 一日三＿ (pinyin: cān, freq: 1465, HSK:4, struct:⿱)
78. 忍＿挨饿 (pinyin: jī, freq: 2173, HSK:6, struct:⿰)
79. 馄＿汤面 (pinyin: tun, freq: 4332, HSK:n, struct:⿰)
80. 烹＿美食 (pinyin: rèn, freq: 4491, HSK:+, struct:⿰)
81. 请你吃＿ (pinyin: fàn, freq: 935, HSK:1, struct:⿰)
82. ＿食习惯 (pinyin: yǐn, freq: 1569, HSK:3, struct:⿰)
83. ＿行送别 (pinyin: jiàn, freq: 4658, HSK:n, struct:⿰)
84. 家居装＿ (pinyin: shì, freq: 1604, HSK:5, struct:⿰)
85. 我吃＿了 (pinyin: bǎo, freq: 1998, HSK:3, struct:⿰)
86. ＿养动物 (pinyin: sì, freq: 1971, HSK:+, struct:⿰)
87. 鱼＿钓鱼 (pinyin: ěr, freq: 3135, HSK:+, struct:⿰)
88. 请求＿恕 (pinyin: ráo, freq: 2266, HSK:+, struct:⿰)
89. 士兵军＿ (pinyin: xiǎng, freq: 3103, HSK:n, struct:⿰)
90. ＿子馅儿 (pinyin: jiǎo, freq: 3650, HSK:3, struct:⿰)
91. 画＿充饥 (pinyin: bǐng, freq: 2359, HSK:4, struct:⿰)
92. 肚子＿了 (pinyin: è, freq: 1911, HSK:3, struct:⿰)
93. 毫不气＿ (pinyin: něi, freq: 4162, HSK:+, struct:⿰)
94. 手工＿饨 (pinyin: hún, freq: 4631, HSK:n, struct:⿰)
95. 牛肉＿饼 (pinyin: xiàn, freq: 3765, HSK:+, struct:⿰)
96. 图书＿ (pinyin: guǎn, freq: 1011, HSK:2, struct:⿰)
97. 意见反＿ (pinyin: kuì, freq: 2947, HSK:6, struct:⿰)
98. ＿主意 (pinyin: sōu, freq: 4753, HSK:n, struct:⿰)
99. ＿嘴爱吃 (pinyin: chán, freq: 3844, HSK:+, struct:⿰)
100. 肉夹＿ (pinyin: mó, freq: 4070, HSK:n, struct:⿰)
