```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 皱眉＿额 (pinyin: cù, freq: 3977, HSK:n, struct:⿱)
26. 更新＿件 (pinyin: ruǎn, freq: 1043, HSK:5, struct:⿰)
27. ＿动全国 (pinyin: hōng, freq: 1264, HSK:+, struct:⿱)
28. 地＿倾斜 (pinyin: zhóu, freq: 2438, HSK:+, struct:⿰)
29. ＿事逸闻 (pinyin: yì, freq: 4046, HSK:n, struct:⿰)
30. ＿而易举 (pinyin: qīng, freq: 460, HSK:3, struct:⿰)
31. 苏＿诗词 (pinyin: Shì, freq: 2926, HSK:n, struct:⿰)
32. 下＿文件 (pinyin: zǎi, freq: 977, HSK:5, struct:⿹)
33. 小＿车 (pinyin: jiào, freq: 2447, HSK:+, struct:⿰)
34. 斤斤计＿ (pinyin: jiào, freq: 491, HSK:3, struct:⿰)
35. 动＿生气 (pinyin: zhé, freq: 3557, HSK:n, struct:⿰)
36. 相＿相成 (pinyin: fǔ, freq: 2033, HSK:6, struct:⿰)
37. 一＿汽车 (pinyin: liàng, freq: 1375, HSK:3, struct:⿰)
38. 尊敬长＿ (pinyin: bèi, freq: 1477, HSK:6, struct:⿱)
39. ＿煌胜利 (pinyin: huī, freq: 1623, HSK:+, struct:⿰)
40. 学生＿学 (pinyin: chuò, freq: 4060, HSK:n, struct:⿰)
41. 光＿射 (pinyin: fú, freq: 2428, HSK:+, struct:⿰)
42. 报纸编＿ (pinyin: jí, freq: 1362, HSK:5, struct:⿰)
43. 免费运＿ (pinyin: shū, freq: 939, HSK:4, struct:⿰)
44. 南＿北辙 (pinyin: yuán, freq: 3831, HSK:+, struct:⿰)
45. 管＿范围 (pinyin: xiá, freq: 1643, HSK:+, struct:⿰)
46. ＿转反侧 (pinyin: zhǎn, freq: 3535, HSK:+, struct:⿰)
47. 饥肠＿＿ (pinyin: lù, freq: 3819, HSK:n, struct:⿰)
48. 如出一＿ (pinyin: zhé, freq: 3208, HSK:+, struct:⿲)
49. ＿苦你了 (pinyin: xīn, freq: 1463, HSK:4, struct:⿱)
50. ＿负期望 (pinyin: gū, freq: 2596, HSK:+, struct:⿱)
51. 不＿而别 (pinyin: cí, freq: 1469, HSK:5, struct:⿰)
52. 开天＿地 (pinyin: pì, freq: 2140, HSK:+, struct:⿰)
53. 酸甜苦＿ (pinyin: là, freq: 2420, HSK:4, struct:⿰)
54. ＿认尸体 (pinyin: biàn, freq: 1910, HSK:+, struct:⿲)
55. ＿护律师 (pinyin: biàn, freq: 1355, HSK:+, struct:⿲)
56. 扎起＿子 (pinyin: biàn, freq: 3240, HSK:+, struct:⿲)
57. 日月星＿ (pinyin: chén, freq: 2317, HSK:+, struct:⿸)
58. 遭受侮＿ (pinyin: rǔ, freq: 1907, HSK:+, struct:⿱)
59. ＿走＿唱 (pinyin: biān, freq: 316, HSK:1, struct:⿺)
60. ＿宁沈阳 (pinyin: Liáo, freq: 2086, HSK:+, struct:⿺)
61. ＿到目的 (pinyin: dá, freq: 289, HSK:4, struct:⿺)
62. 生活变＿ (pinyin: qiān, freq: 1630, HSK:+, struct:⿺)
63. ＿回曲折 (pinyin: yū, freq: 2959, HSK:n, struct:⿺)
64. ＿今为止 (pinyin: qì, freq: 2549, HSK:+, struct:⿺)
65. ＿速发展 (pinyin: xùn, freq: 1090, HSK:5, struct:⿺)
66. 错＿机会 (pinyin: guò, freq: 46, HSK:2, struct:⿺)
67. ＿克尔 (pinyin: mài, freq: 1698, HSK:6, struct:⿺)
68. 欢＿光临 (pinyin: yíng, freq: 1069, HSK:3, struct:⿺)
69. ＿动身体 (pinyin: yùn, freq: 345, HSK:2, struct:⿺)
70. 远＿闻名 (pinyin: jìn, freq: 374, HSK:2, struct:⿺)
71. ＿回首页 (pinyin: fǎn, freq: 1430, HSK:5, struct:⿺)
72. ＿没开始 (pinyin: hái, freq: 80, HSK:1, struct:⿺)
73. 快来＿里 (pinyin: zhè, freq: 11, HSK:1, struct:⿺)
74. 与时俱＿ (pinyin: jìn, freq: 81, HSK:2, struct:⿺)
75. 山高路＿ (pinyin: yuǎn, freq: 386, HSK:2, struct:⿺)
76. ＿反规定 (pinyin: wéi, freq: 1184, HSK:5, struct:⿺)
77. ＿续不断 (pinyin: lián, freq: 399, HSK:4, struct:⿺)
78. ＿到早退 (pinyin: chí, freq: 1374, HSK:3, struct:⿺)
79. 千里＿＿ (pinyin: tiáo, freq: 3898, HSK:n, struct:⿺)
80. ＿然不同 (pinyin: jiǒng, freq: 3638, HSK:n, struct:⿺)
81. 释＿牟尼 (pinyin: jiā, freq: 2522, HSK:n, struct:⿺)
82. 闻名遐＿ (pinyin: ěr, freq: 4328, HSK:n, struct:⿺)
83. 奥＿汽车 (pinyin: dí, freq: 1440, HSK:+, struct:⿺)
84. ＿不及待 (pinyin: pò, freq: 1006, HSK:6, struct:⿺)
85. 交替更＿ (pinyin: dié, freq: 3018, HSK:+, struct:⿺)
86. 综上所＿ (pinyin: shù, freq: 674, HSK:5, struct:⿺)
87. ＿惑不解 (pinyin: mí, freq: 1153, HSK:4, struct:⿺)
88. 火焰＿发 (pinyin: bèng, freq: 3290, HSK:+, struct:⿺)
89. 名胜古＿ (pinyin: jì, freq: 1098, HSK:5, struct:⿺)
90. ＿求目标 (pinyin: zhuī, freq: 768, HSK:5, struct:⿺)
91. 后＿一步 (pinyin: tuì, freq: 723, HSK:5, struct:⿺)
92. ＿给你 (pinyin: sòng, freq: 656, HSK:2, struct:⿺)
93. ＿合儿童 (pinyin: shì, freq: 663, HSK:3, struct:⿺)
94. ＿避责任 (pinyin: táo, freq: 996, HSK:6, struct:⿺)
95. 偶然邂＿ (pinyin: hòu, freq: 4468, HSK:n, struct:⿺)
96. 驾车＿行 (pinyin: nì, freq: 1975, HSK:+, struct:⿺)
97. 别无＿择 (pinyin: xuǎn, freq: 499, HSK:3, struct:⿺)
98. 谦＿有礼 (pinyin: xùn, freq: 1697, HSK:+, struct:⿺)
99. ＿遥自在 (pinyin: xiāo, freq: 3556, HSK:n, struct:⿺)
100. ＿露消息 (pinyin: tòu, freq: 1077, HSK:6, struct:⿺)
