```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿上灯笼 (pinyin: guà, freq: 1232, HSK:4, struct:⿰)
28. 柒＿玖拾 (pinyin: bā, freq: 5580, HSK:n, struct:⿰)
29. ＿卫祖国 (pinyin: hàn, freq: 3255, HSK:+, struct:⿰)
30. 请＿封信 (pinyin: shāo, freq: 3603, HSK:+, struct:⿰)
31. ＿着鼻子 (pinyin: niē, freq: 2472, HSK:+, struct:⿰)
32. 大笔＿款 (pinyin: juān, freq: 2235, HSK:5, struct:⿰)
33. 罪犯被＿ (pinyin: bǔ, freq: 1312, HSK:6, struct:⿰)
34. 海底＿针 (pinyin: lāo, freq: 2508, HSK:+, struct:⿰)
35. 财产＿失 (pinyin: sǔn, freq: 911, HSK:5, struct:⿰)
36. ＿起贝壳 (pinyin: jiǎn, freq: 2753, HSK:5, struct:⿰)
37. ＿句话说 (pinyin: huàn, freq: 824, HSK:3, struct:⿰)
38. 你别＿乱 (pinyin: dǎo, freq: 2723, HSK:+, struct:⿰)
39. 自我吹＿ (pinyin: pěng, freq: 2353, HSK:6, struct:⿰)
40. 根＿报道 (pinyin: jù, freq: 313, HSK:3, struct:⿰)
41. 用拳头＿ (pinyin: chuí, freq: 3478, HSK:+, struct:⿰)
42. 灵敏快＿ (pinyin: jié, freq: 1789, HSK:6, struct:⿰)
43. 按＿情绪 (pinyin: nà, freq: 3841, HSK:n, struct:⿰)
44. ＿动铅笔 (pinyin: niǎn, freq: 3471, HSK:n, struct:⿰)
45. ＿起热潮 (pinyin: xiān, freq: 2468, HSK:+, struct:⿰)
46. ＿量包裹 (pinyin: diān, freq: 4020, HSK:n, struct:⿰)
47. 拾＿房子 (pinyin: duō, freq: 4486, HSK:n, struct:⿰)
48. 副教＿ (pinyin: shòu, freq: 968, HSK:4, struct:⿰)
49. 全部吃＿ (pinyin: diào, freq: 849, HSK:4, struct:⿰)
50. 仙人＿ (pinyin: zhǎng, freq: 890, HSK:5, struct:⿱)
51. ＿出钥匙 (pinyin: tāo, freq: 2218, HSK:6, struct:⿰)
52. ＿住脖子 (pinyin: qiā, freq: 3494, HSK:+, struct:⿰)
53. 安＿日程 (pinyin: pái, freq: 682, HSK:4, struct:⿰)
54. ＿好被子 (pinyin: yē, freq: 3863, HSK:n, struct:⿰)
55. 挖＿矿物 (pinyin: jué, freq: 2212, HSK:+, struct:⿰)
56. ＿夺财富 (pinyin: lüè, freq: 1868, HSK:+, struct:⿰)
57. ＿索宇宙 (pinyin: tàn, freq: 917, HSK:6, struct:⿰)
58. 风驰电＿ (pinyin: chè, freq: 3596, HSK:n, struct:⿱)
59. ＿受现实 (pinyin: jiē, freq: 247, HSK:3, struct:⿰)
60. 自我＿制 (pinyin: kòng, freq: 780, HSK:5, struct:⿰)
61. ＿动发展 (pinyin: tuī, freq: 505, HSK:4, struct:⿰)
62. ＿饰真相 (pinyin: yǎn, freq: 1514, HSK:+, struct:⿰)
63. 安全＿施 (pinyin: cuò, freq: 1148, HSK:5, struct:⿰)
64. 一＿之水 (pinyin: jū, freq: 4398, HSK:n, struct:⿰)
65. ＿开面包 (pinyin: bāi, freq: 4253, HSK:+, struct:⿲)
66. ＿掠一空 (pinyin: lǔ, freq: 3468, HSK:n, struct:⿰)
67. ＿人耳光 (pinyin: guāi, freq: 5461, HSK:n, struct:⿰)
68. ＿骰子 (pinyin: zhì, freq: 2614, HSK:+, struct:⿰)
69. 鸡毛＿子 (pinyin: dǎn, freq: 4402, HSK:n, struct:⿰)
70. ＿杂感情 (pinyin: chān, freq: 3308, HSK:+, struct:⿰)
71. ＿奶油 (pinyin: guàn, freq: 5206, HSK:n, struct:⿰)
72. 揶＿讥讽 (pinyin: yú, freq: 4725, HSK:n, struct:⿰)
73. 别＿眼睛 (pinyin: róu, freq: 2818, HSK:+, struct:⿰)
74. ＿你的脸 (pinyin: zòu, freq: 3540, HSK:+, struct:⿰)
75. ＿述感情 (pinyin: miáo, freq: 1246, HSK:5, struct:⿰)
76. ＿交作业 (pinyin: tí, freq: 196, HSK:3, struct:⿰)
77. ＿入门锁 (pinyin: chā, freq: 1495, HSK:5, struct:⿰)
78. 打躬作＿ (pinyin: yī, freq: 3505, HSK:n, struct:⿰)
79. ＿苗助长 (pinyin: yà, freq: 6779, HSK:+, struct:⿰)
80. 掌＿技巧 (pinyin: wò, freq: 1032, HSK:5, struct:⿰)
81. 凭空＿测 (pinyin: chuǎi, freq: 3034, HSK:+, struct:⿰)
82. ＿拭桌子 (pinyin: kāi, freq: 3671, HSK:n, struct:⿰)
83. ＿住手臂 (pinyin: jiū, freq: 3065, HSK:+, struct:⿰)
84. ＿露真相 (pinyin: jiē, freq: 1666, HSK:+, struct:⿰)
85. 人道＿助 (pinyin: yuán, freq: 1197, HSK:6, struct:⿰)
86. ＿揄讥笑 (pinyin: yé, freq: 5389, HSK:n, struct:⿰)
87. 大包大＿ (pinyin: lǎn, freq: 2807, HSK:+, struct:⿰)
88. ＿扶老人 (pinyin: chān, freq: 3384, HSK:+, struct:⿰)
89. 暂时＿置 (pinyin: gē, freq: 2380, HSK:+, struct:⿰)
90. ＿在怀里 (pinyin: lǒu, freq: 2795, HSK:+, struct:⿰)
91. ＿一＿汤 (pinyin: jiǎo, freq: 2679, HSK:+, struct:⿰)
92. 努力拼＿ (pinyin: bó, freq: 2372, HSK:+, struct:⿰)
93. 肌肉抽＿ (pinyin: chù, freq: 3680, HSK:n, struct:⿰)
94. ＿手取暖 (pinyin: cuō, freq: 3098, HSK:+, struct:⿰)
95. ＿到痒处 (pinyin: sāo, freq: 3454, HSK:n, struct:⿰)
96. ＿索引擎 (pinyin: sōu, freq: 1564, HSK:5, struct:⿰)
97. 怎么＿的 (pinyin: gǎo, freq: 1146, HSK:5, struct:⿰)
98. 推推＿＿ (pinyin: sǎng, freq: 4686, HSK:n, struct:⿰)
99. ＿塞敷衍 (pinyin: táng, freq: 4057, HSK:n, struct:⿰)
100. ＿起石头 (pinyin: bān, freq: 1766, HSK:3, struct:⿰)
