```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿然决定 (pinyin: yì, freq: 1946, HSK:+, struct:⿰)
28. 施用＿肥 (pinyin: dàn, freq: 3482, HSK:n, struct:⿹)
29. ＿化钠 (pinyin: lǜ, freq: 3013, HSK:n, struct:⿹)
30. ＿化物 (pinyin: qíng, freq: 4463, HSK:n, struct:⿹)
31. ＿滴石穿 (pinyin: shuǐ, freq: 202, HSK:1, struct:⿲)
32. ＿远不忘 (pinyin: yǒng, freq: 842, HSK:4, struct:⿱)
33. 克里斯＿ (pinyin: tīng, freq: 3163, HSK:n, struct:⿰)
34. 苹果＿ (pinyin: zhī, freq: 2540, HSK:4, struct:⿰)
35. 不＿回报 (pinyin: qiú, freq: 312, HSK:3, struct:⿻)
36. 词＿量 (pinyin: huì, freq: 1187, HSK:5, struct:⿰)
37. ＿语拼音 (pinyin: Hàn, freq: 711, HSK:1, struct:⿰)
38. 潮＿能 (pinyin: xī, freq: 4186, HSK:n, struct:⿰)
39. 广东＿头 (pinyin: Shàn, freq: 3878, HSK:n, struct:⿰)
40. 满脸＿水 (pinyin: hàn, freq: 1490, HSK:4, struct:⿰)
41. 防＿抗旱 (pinyin: xùn, freq: 3759, HSK:+, struct:⿰)
42. 乌鲁＿ (pinyin: rǔ, freq: 2547, HSK:n, struct:⿰)
43. ＿温度计 (pinyin: gǒng, freq: 3772, HSK:n, struct:⿱)
44. 长＿三峡 (pinyin: jiāng, freq: 577, HSK:4, struct:⿰)
45. 锂电＿ (pinyin: chí, freq: 1709, HSK:5, struct:⿰)
46. 空气＿染 (pinyin: wū, freq: 1405, HSK:4, struct:⿰)
47. 心灵鸡＿ (pinyin: tāng, freq: 1618, HSK:4, struct:⿰)
48. ＿＿流淌 (pinyin: gǔ, freq: 4342, HSK:n, struct:⿰)
49. 狗叫＿＿ (pinyin: wāng, freq: 1876, HSK:+, struct:⿰)
50. 淘＿掉了 (pinyin: tài, freq: 2969, HSK:6, struct:⿰)
51. ＿取教训 (pinyin: jí, freq: 3374, HSK:+, struct:⿰)
52. 波涛＿涌 (pinyin: xiōng, freq: 2746, HSK:+, struct:⿰)
53. 含铅＿油 (pinyin: qì, freq: 1200, HSK:3, struct:⿰)
54. ＿人心脾 (pinyin: qìn, freq: 3025, HSK:n, struct:⿰)
55. 肥＿土地 (pinyin: wò, freq: 1808, HSK:6, struct:⿰)
56. 辽宁＿阳 (pinyin: Shěn, freq: 1681, HSK:n, struct:⿰)
57. ＿默不语 (pinyin: chén, freq: 747, HSK:5, struct:⿰)
58. 一片混＿ (pinyin: dùn, freq: 3309, HSK:n, struct:⿰)
59. 烧水＿茶 (pinyin: qī, freq: 4487, HSK:+, struct:⿰)
60. ＿浴阳光 (pinyin: mù, freq: 3464, HSK:+, struct:⿰)
61. 纷至＿来 (pinyin: tà, freq: 3806, HSK:n, struct:⿱)
62. 戈壁＿漠 (pinyin: shā, freq: 848, HSK:3, struct:⿰)
63. 精力充＿ (pinyin: pèi, freq: 3032, HSK:+, struct:⿰)
64. 和他＿通 (pinyin: gōu, freq: 1610, HSK:5, struct:⿰)
65. 我＿有钱 (pinyin: méi, freq: 72, HSK:1, struct:⿰)
66. ＿青路面 (pinyin: lì, freq: 3598, HSK:n, struct:⿰)
67. ＿为乞丐 (pinyin: lún, freq: 2733, HSK:n, struct:⿰)
68. 饱经＿桑 (pinyin: cāng, freq: 3023, HSK:+, struct:⿰)
69. 上海：＿ (pinyin: hù, freq: 2734, HSK:n, struct:⿰)
70. 经济泡＿ (pinyin: mò, freq: 2495, HSK:+, struct:⿰)
71. 令我＿丧 (pinyin: jǔ, freq: 2878, HSK:+, struct:⿰)
72. 江＿湖海 (pinyin: hé, freq: 574, HSK:3, struct:⿰)
73. ＿腾的水 (pinyin: fèi, freq: 2698, HSK:+, struct:⿰)
74. 加＿站 (pinyin: yóu, freq: 948, HSK:4, struct:⿰)
75. ＿疗疾病 (pinyin: zhì, freq: 274, HSK:5, struct:⿰)
76. 湿地＿泽 (pinyin: zhǎo, freq: 2480, HSK:+, struct:⿰)
77. ＿名钓誉 (pinyin: gū, freq: 3492, HSK:n, struct:⿰)
78. ＿我的光 (pinyin: zhān, freq: 2402, HSK:+, struct:⿰)
79. ＿着河边 (pinyin: yán, freq: 1182, HSK:5, struct:⿰)
80. ＿漏机密 (pinyin: xiè, freq: 2010, HSK:+, struct:⿰)
81. ＿水而过 (pinyin: qiú, freq: 4604, HSK:n, struct:⿰)
82. 矿＿水 (pinyin: quán, freq: 1641, HSK:3, struct:⿱)
83. 抛锚停＿ (pinyin: bó, freq: 2043, HSK:+, struct:⿰)
84. 汗腺分＿ (pinyin: mì, freq: 2609, HSK:+, struct:⿰)
85. 一＿秋水 (pinyin: hóng, freq: 4409, HSK:n, struct:⿰)
86. 遵循＿律 (pinyin: fǎ, freq: 65, HSK:3, struct:⿰)
87. ＿滥成灾 (pinyin: fàn, freq: 1327, HSK:5, struct:⿰)
88. 泥＿山路 (pinyin: nìng, freq: 3936, HSK:+, struct:⿰)
89. ＿＿糖 (pinyin: pào, freq: 2000, HSK:6, struct:⿰)
90. ＿浪翻滚 (pinyin: bō, freq: 664, HSK:+, struct:⿰)
91. 伤心哭＿ (pinyin: qì, freq: 2449, HSK:+, struct:⿰)
92. 未干水＿ (pinyin: ní, freq: 1499, HSK:6, struct:⿰)
93. ＿意安全 (pinyin: zhù, freq: 492, HSK:3, struct:⿰)
94. 流下眼＿ (pinyin: lèi, freq: 1271, HSK:5, struct:⿰)
95. ＿然众人 (pinyin: mǐn, freq: 4320, HSK:n, struct:⿰)
96. ＿山北斗 (pinyin: Tài, freq: 1318, HSK:+, struct:⿱)
97. 游＿池 (pinyin: yǒng, freq: 2607, HSK:2, struct:⿰)
98. 抽水＿ (pinyin: bèng, freq: 3800, HSK:n, struct:⿱)
99. ＿沽湖 (pinyin: Lú, freq: 4736, HSK:n, struct:⿰)
100. 患有腹＿ (pinyin: xiè, freq: 2715, HSK:+, struct:⿰)
