```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 走下山＿ (pinyin: gāng, freq: 2047, HSK:n, struct:⿵)
75. ＿激经济 (pinyin: cì, freq: 1058, HSK:5, struct:⿰)
76. ＿不容缓 (pinyin: kè, freq: 618, HSK:3, struct:⿰)
77. ＿子手 (pinyin: guì, freq: 3959, HSK:n, struct:⿰)
78. 把肉＿碎 (pinyin: duò, freq: 4434, HSK:n, struct:⿰)
79. 消毒＿ (pinyin: jì, freq: 1546, HSK:+, struct:⿰)
80. ＿须刀 (pinyin: tì, freq: 3289, HSK:+, struct:⿰)
81. 用刀＿皮 (pinyin: xiāo, freq: 1794, HSK:+, struct:⿰)
82. 空＿绝后 (pinyin: qián, freq: 93, HSK:1, struct:⿱)
83. 刻舟求＿ (pinyin: jiàn, freq: 869, HSK:6, struct:⿰)
84. 他很挑＿ (pinyin: tī, freq: 3156, HSK:+, struct:⿰)
85. 解＿学 (pinyin: pōu, freq: 2484, HSK:+, struct:⿰)
86. ＿肉补疮 (pinyin: wān, freq: 4671, HSK:n, struct:⿰)
87. ＿夺权利 (pinyin: bō, freq: 1959, HSK:+, struct:⿰)
88. 戏＿演出 (pinyin: jù, freq: 909, HSK:4, struct:⿰)
89. 单身＿女 (pinyin: shèng, freq: 1446, HSK:4, struct:⿰)
90. ＿短头发 (pinyin: jiǎn, freq: 2227, HSK:5, struct:⿱)
91. 名＿其实 (pinyin: fù, freq: 764, HSK:5, struct:⿰)
92. ＿了草 (pinyin: gē, freq: 1665, HSK:6, struct:⿰)
93. ＿窃内容 (pinyin: piāo, freq: 4386, HSK:n, struct:⿰)
94. 敌人围＿ (pinyin: jiǎo, freq: 2632, HSK:n, struct:⿰)
95. ＿木头 (pinyin: pī, freq: 2487, HSK:+, struct:⿱)
96. 齐心协＿ (pinyin: lì, freq: 106, HSK:3, struct:⿻)
97. 我＿你去 (pinyin: quàn, freq: 1562, HSK:5, struct:⿰)
98. 没＿法 (pinyin: bàn, freq: 367, HSK:3, struct:⿻)
99. 获得成＿ (pinyin: gōng, freq: 452, HSK:4, struct:⿰)
100. 雪上＿霜 (pinyin: jiā, freq: 166, HSK:3, struct:⿰)
