```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 一把扫＿ (pinyin: zhou, freq: 3630, HSK:+, struct:⿳)
20. 你在＿嘛 (pinyin: gàn, freq: 353, HSK:3, struct:⿱)
21. 一路＿安 (pinyin: píng, freq: 215, HSK:3, struct:⿻)
22. 新＿快乐 (pinyin: nián, freq: 45, HSK:1, struct:⿻)
23. ＿不是 (pinyin: bìng, freq: 141, HSK:4, struct:⿱)
24. ＿福美满 (pinyin: xìng, freq: 902, HSK:4, struct:⿱)
25. ＿＿久 (pinyin: yāo, freq: 4505, HSK:n, struct:none)
26. ＿想小说 (pinyin: huàn, freq: 1417, HSK:6, struct:⿰)
27. ＿儿园 (pinyin: yòu, freq: 1577, HSK:5, struct:⿰)
28. ＿默感 (pinyin: yōu, freq: 1636, HSK:4, struct:⿻)
29. 见多识＿ (pinyin: guǎng, freq: 468, HSK:4, struct:⿱)
30. 偏远村＿ (pinyin: zhuāng, freq: 1024, HSK:6, struct:⿸)
31. ＿祝生日 (pinyin: qìng, freq: 1269, HSK:4, struct:⿸)
32. 政治＿护 (pinyin: bì, freq: 2793, HSK:+, struct:⿸)
33. 躺在＿上 (pinyin: chuáng, freq: 1068, HSK:1, struct:⿸)
34. 保持秩＿ (pinyin: xù, freq: 836, HSK:4, struct:⿸)
35. 三顾茅＿ (pinyin: lú, freq: 2927, HSK:n, struct:⿸)
36. 数据＿ (pinyin: kù, freq: 1097, HSK:5, struct:⿸)
37. ＿该道歉 (pinyin: yīng, freq: 144, HSK:3, struct:⿸)
38. 归根到＿ (pinyin: dǐ, freq: 543, HSK:4, struct:⿸)
39. 一间＿厨 (pinyin: páo, freq: 4149, HSK:n, struct:⿸)
40. 五星酒＿ (pinyin: diàn, freq: 1041, HSK:2, struct:⿸)
41. 佛教寺＿ (pinyin: miào, freq: 1889, HSK:+, struct:⿸)
42. 舞王韩＿ (pinyin: Gēng, freq: 3072, HSK:n, struct:⿸)
43. 当地政＿ (pinyin: fǔ, freq: 417, HSK:5, struct:⿸)
44. ＿大身躯 (pinyin: páng, freq: 1849, HSK:6, struct:⿸)
45. 排放＿水 (pinyin: fèi, freq: 1376, HSK:+, struct:⿸)
46. 调整温＿ (pinyin: dù, freq: 184, HSK:4, struct:⿸)
47. 空的＿位 (pinyin: zuò, freq: 812, HSK:4, struct:⿸)
48. 家＿主妇 (pinyin: tíng, freq: 931, HSK:4, struct:⿸)
49. 施耐＿ (pinyin: ān, freq: 3022, HSK:n, struct:⿸)
50. ＿出子弟 (pinyin: shù, freq: 3016, HSK:n, struct:⿸)
51. 恢复健＿ (pinyin: kāng, freq: 900, HSK:3, struct:⿸)
52. 不甘平＿ (pinyin: yōng, freq: 2148, HSK:+, struct:⿸)
53. 物美价＿ (pinyin: lián, freq: 1818, HSK:+, struct:⿸)
54. 沿着走＿ (pinyin: láng, freq: 2075, HSK:6, struct:⿸)
55. 先画轮＿ (pinyin: kuò, freq: 2911, HSK:+, struct:⿸)
56. ＿小红 (pinyin: Liào, freq: 2890, HSK:n, struct:⿸)
57. ＿长时间 (pinyin: yán, freq: 1103, HSK:5, struct:⿺)
58. 阿根＿ (pinyin: tíng, freq: 1626, HSK:+, struct:⿺)
59. 提出＿议 (pinyin: jiàn, freq: 244, HSK:4, struct:⿺)
60. 三月＿四 (pinyin: niàn, freq: 3383, HSK:n, struct:none)
61. 还没＿始 (pinyin: kāi, freq: 94, HSK:1, struct:⿱)
62. ＿常天气 (pinyin: yì, freq: 709, HSK:6, struct:⿱)
63. 放＿任务 (pinyin: qì, freq: 1105, HSK:4, struct:⿳)
64. 把它＿脏 (pinyin: nòng, freq: 1053, HSK:4, struct:⿱)
65. 零和博＿ (pinyin: yì, freq: 4421, HSK:+, struct:⿱)
66. 有利有＿ (pinyin: bì, freq: 2348, HSK:+, struct:⿱)
67. 巡＿四方 (pinyin: yì, freq: 4265, HSK:n, struct:none)
68. 韩＿拌饭 (pinyin: shì, freq: 303, HSK:4, struct:⿹)
69. ＿君篡位 (pinyin: shì, freq: 4763, HSK:n, struct:⿰)
70. 惊＿之鸟 (pinyin: gōng, freq: 2229, HSK:+, struct:none)
71. ＿起注意 (pinyin: yǐn, freq: 479, HSK:4, struct:⿰)
72. ＿兰克 (pinyin: Fú, freq: 1257, HSK:n, struct:⿻)
73. ＿扬传统 (pinyin: hóng, freq: 2619, HSK:+, struct:⿰)
74. 肌肉松＿ (pinyin: chí, freq: 3358, HSK:+, struct:⿰)
75. 兄＿们 (pinyin: dì, freq: 816, HSK:1, struct:⿱)
76. 东＿西望 (pinyin: zhāng, freq: 318, HSK:3, struct:⿰)
77. ＿补过错 (pinyin: mí, freq: 1785, HSK:6, struct:⿰)
78. 拉紧弓＿ (pinyin: xián, freq: 2258, HSK:+, struct:⿰)
79. 弯成＿形 (pinyin: hú, freq: 3062, HSK:n, struct:⿰)
80. 剑拔＿张 (pinyin: nǔ, freq: 3470, HSK:n, struct:⿱)
81. ＿曲变形 (pinyin: wān, freq: 1662, HSK:5, struct:⿱)
82. 意志脆＿ (pinyin: ruò, freq: 1038, HSK:5, struct:⿰)
83. 对牛＿琴 (pinyin: tán, freq: 632, HSK:4, struct:⿰)
84. 加＿联系 (pinyin: qiáng, freq: 292, HSK:4, struct:⿰)
85. ＿马温 (pinyin: Bì, freq: 3647, HSK:n, struct:⿲)
86. 无家可＿ (pinyin: guī, freq: 933, HSK:6, struct:⿰)
87. ＿代写作 (pinyin: dāng, freq: 71, HSK:3, struct:⿱)
88. 记＿片 (pinyin: lù, freq: 919, HSK:5, struct:⿱)
89. 哈雷＿星 (pinyin: huì, freq: 3591, HSK:n, struct:⿱)
90. ＿族音乐 (pinyin: Yí, freq: 3554, HSK:n, struct:⿳)
91. 三角＿ (pinyin: xíng, freq: 269, HSK:5, struct:⿰)
92. 红＿＿ (pinyin: tóng, freq: 4075, HSK:n, struct:⿰)
93. 李＿宏 (pinyin: Yàn, freq: 2559, HSK:n, struct:⿸)
94. 丰富多＿ (pinyin: cǎi, freq: 1177, HSK:4, struct:⿰)
95. ＿形大汉 (pinyin: biāo, freq: 2406, HSK:n, struct:⿺)
96. ＿＿有礼 (pinyin: bīn, freq: 2736, HSK:+, struct:⿰)
97. ＿博社 (pinyin: péng, freq: 1501, HSK:n, struct:⿰)
98. 受到表＿ (pinyin: zhāng, freq: 2953, HSK:+, struct:⿰)
99. 一部电＿ (pinyin: yǐng, freq: 390, HSK:1, struct:⿰)
100. ＿徨迷茫 (pinyin: páng, freq: 3487, HSK:n, struct:⿰)
