```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 她＿给他 (pinyin: jià, freq: 2063, HSK:6, struct:⿰)
49. 很便＿ (pinyin: yi, freq: 1290, HSK:1, struct:⿱)
50. ＿贝儿 (pinyin: bǎo, freq: 811, HSK:5, struct:⿱)
51. ＿现目标 (pinyin: shí, freq: 100, HSK:3, struct:⿱)
52. 养了＿物 (pinyin: chǒng, freq: 2422, HSK:5, struct:⿱)
53. 最终＿判 (pinyin: shěn, freq: 746, HSK:6, struct:⿱)
54. 不＿气 (pinyin: kè, freq: 583, HSK:1, struct:⿱)
55. ＿布独立 (pinyin: xuān, freq: 770, HSK:5, struct:⿱)
56. 办公＿ (pinyin: shì, freq: 708, HSK:2, struct:⿱)
57. 宽＿自己 (pinyin: yòu, freq: 4707, HSK:n, struct:⿱)
58. 唐代＿官 (pinyin: huàn, freq: 2976, HSK:n, struct:⿱)
59. 违反＿法 (pinyin: xiàn, freq: 1484, HSK:+, struct:⿱)
60. ＿保鸡丁 (pinyin: gōng, freq: 982, HSK:6, struct:⿱)
61. 主＿世界 (pinyin: zǎi, freq: 2080, HSK:+, struct:⿱)
62. 伤＿别人 (pinyin: hài, freq: 579, HSK:3, struct:⿱)
63. 丰盛＿会 (pinyin: yàn, freq: 2155, HSK:6, struct:⿱)
64. 元＿节 (pinyin: xiāo, freq: 3131, HSK:6, struct:⿱)
65. 一个国＿ (pinyin: jiā, freq: 56, HSK:1, struct:⿱)
66. 好不＿易 (pinyin: róng, freq: 442, HSK:3, struct:⿱)
67. ＿边帽子 (pinyin: kuān, freq: 1155, HSK:5, struct:⿱)
68. ＿馆大厅 (pinyin: bīn, freq: 1534, HSK:3, struct:⿱)
69. 学生＿舍 (pinyin: sù, freq: 1752, HSK:5, struct:⿱)
70. 感到孤＿ (pinyin: jì, freq: 1739, HSK:6, struct:⿱)
71. ＿包裹 (pinyin: jì, freq: 1611, HSK:4, struct:⿱)
72. 子丑＿卯 (pinyin: yín, freq: 3422, HSK:n, struct:⿱)
73. 商业机＿ (pinyin: mì, freq: 591, HSK:4, struct:⿱)
74. 日＿侵华 (pinyin: kòu, freq: 2567, HSK:n, struct:⿱)
75. 丰＿经验 (pinyin: fù, freq: 733, HSK:4, struct:⿱)
76. 梦＿以求 (pinyin: mèi, freq: 3825, HSK:+, struct:⿱)
77. ＿冷冬天 (pinyin: hán, freq: 1297, HSK:4, struct:⿱)
78. 公＿楼 (pinyin: yù, freq: 2199, HSK:5, struct:⿱)
79. 废＿忘食 (pinyin: qǐn, freq: 2806, HSK:+, struct:⿱)
80. 感到寂＿ (pinyin: mò, freq: 2601, HSK:6, struct:⿱)
81. 我＿觉到 (pinyin: chá, freq: 564, HSK:4, struct:⿱)
82. ＿妇重婚 (pinyin: guǎ, freq: 2268, HSK:+, struct:⿱)
83. ＿＿无几 (pinyin: liáo, freq: 3116, HSK:+, struct:⿱)
84. 山＿产品 (pinyin: zhài, freq: 2313, HSK:+, struct:⿱)
85. 惨绝人＿ (pinyin: huán, freq: 3963, HSK:n, struct:⿳)
86. 六英＿ (pinyin: cùn, freq: 1904, HSK:6, struct:none)
87. 判断＿错 (pinyin: duì, freq: 33, HSK:1, struct:⿰)
88. 少林＿ (pinyin: sì, freq: 1892, HSK:+, struct:⿱)
89. ＿找宝藏 (pinyin: xún, freq: 962, HSK:5, struct:⿱)
90. 领＿人 (pinyin: dǎo, freq: 343, HSK:4, struct:⿱)
91. 延长＿命 (pinyin: shòu, freq: 1615, HSK:6, struct:⿸)
92. 一＿信 (pinyin: fēng, freq: 871, HSK:3, struct:⿰)
93. 火箭发＿ (pinyin: shè, freq: 703, HSK:6, struct:⿰)
94. 即＿开始 (pinyin: jiāng, freq: 132, HSK:4, struct:⿰)
95. 陆军上＿ (pinyin: wèi, freq: 2126, HSK:n, struct:⿰)
96. ＿重别人 (pinyin: zūn, freq: 1134, HSK:4, struct:⿱)
97. 一个＿时 (pinyin: xiǎo, freq: 83, HSK:1, struct:⿻)
98. 必不可＿ (pinyin: shǎo, freq: 233, HSK:1, struct:⿱)
99. 偶＿出现 (pinyin: ěr, freq: 220, HSK:4, struct:⿱)
100. ＿锐批评 (pinyin: jiān, freq: 1321, HSK:6, struct:⿱)
