```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 炊烟＿＿ (pinyin: niǎo, freq: 3517, HSK:n, struct:⿹)
36. 心胸＿怀 (pinyin: jīn, freq: 2843, HSK:n, struct:⿰)
37. ＿红柿 (pinyin: xī, freq: 167, HSK:1, struct:⿱)
38. 需＿帮助 (pinyin: yào, freq: 26, HSK:1, struct:⿱)
39. ＿海洋 (pinyin: Qín, freq: 4889, HSK:n, struct:⿱)
40. ＿盖着冰 (pinyin: fù, freq: 1823, HSK:6, struct:⿱)
41. 视而不＿ (pinyin: jiàn, freq: 153, HSK:1, struct:⿵)
42. ＿看视频 (pinyin: guān, freq: 334, HSK:4, struct:⿰)
43. 法律法＿ (pinyin: guī, freq: 321, HSK:4, struct:⿰)
44. 寻＿食物 (pinyin: mì, freq: 2825, HSK:+, struct:⿱)
45. 电＿节目 (pinyin: shì, freq: 438, HSK:1, struct:⿰)
46. 浏＿器 (pinyin: lǎn, freq: 1886, HSK:5, struct:⿱)
47. ＿得不错 (pinyin: jué, freq: 327, HSK:1, struct:⿳)
48. ＿觎皇位 (pinyin: jì, freq: 4591, HSK:n, struct:⿰)
49. 觊＿财产 (pinyin: yú, freq: 4520, HSK:n, struct:⿰)
50. 朝＿天子 (pinyin: jìn, freq: 4435, HSK:n, struct:⿰)
51. 面面相＿ (pinyin: qù, freq: 3506, HSK:n, struct:⿰)
52. 三＿形 (pinyin: jiǎo, freq: 736, HSK:3, struct:⿱)
53. 了＿情况 (pinyin: jiě, freq: 201, HSK:3, struct:⿰)
54. ＿筹交错 (pinyin: gōng, freq: 4532, HSK:n, struct:⿰)
55. 小心＿电 (pinyin: chù, freq: 1207, HSK:5, struct:⿰)
56. 不＿而喻 (pinyin: yán, freq: 355, HSK:3, struct:⿱)
57. ＿骂语 (pinyin: lì, freq: 4626, HSK:n, struct:⿱)
58. ＿姆斯 (pinyin: Zhān, freq: 2533, HSK:n, struct:⿸)
59. 荣＿称号 (pinyin: yù, freq: 1676, HSK:6, struct:⿱)
60. ＿写文章 (pinyin: téng, freq: 4971, HSK:n, struct:⿱)
61. 发＿戒酒 (pinyin: shì, freq: 2095, HSK:+, struct:⿱)
62. ＿察制服 (pinyin: jǐng, freq: 687, HSK:4, struct:⿱)
63. ＿如：… (pinyin: pì, freq: 2441, HSK:+, struct:⿱)
64. 千方百＿ (pinyin: jì, freq: 251, HSK:4, struct:⿰)
65. ＿阅杂志 (pinyin: dìng, freq: 1176, HSK:4, struct:⿰)
66. 逝世＿告 (pinyin: fù, freq: 4666, HSK:n, struct:⿰)
67. 不＿识他 (pinyin: rèn, freq: 213, HSK:1, struct:⿰)
68. ＿讽挖苦 (pinyin: jī, freq: 2922, HSK:+, struct:⿰)
69. ＿价还价 (pinyin: tǎo, freq: 833, HSK:4, struct:⿰)
70. ＿我想想 (pinyin: ràng, freq: 339, HSK:2, struct:⿰)
71. 跟她搭＿ (pinyin: shàn, freq: 3679, HSK:n, struct:⿰)
72. 运费付＿ (pinyin: qì, freq: 4521, HSK:n, struct:⿰)
73. 吸取教＿ (pinyin: xùn, freq: 1022, HSK:5, struct:⿰)
74. 不可思＿ (pinyin: yì, freq: 368, HSK:3, struct:⿰)
75. 腾＿公司 (pinyin: xùn, freq: 1238, HSK:6, struct:⿰)
76. 笔＿本 (pinyin: jì, freq: 306, HSK:2, struct:⿰)
77. 演＿报告 (pinyin: jiǎng, freq: 555, HSK:3, struct:⿰)
78. 忌＿之事 (pinyin: huì, freq: 2912, HSK:+, struct:⿰)
79. ＿歌祖国 (pinyin: ōu, freq: 4770, HSK:n, struct:⿰)
80. 令我惊＿ (pinyin: yà, freq: 2162, HSK:6, struct:⿰)
81. 木＿寡言 (pinyin: nè, freq: 3916, HSK:n, struct:⿰)
82. 允＿停车 (pinyin: xǔ, freq: 263, HSK:4, struct:⿰)
83. ＿诈钱财 (pinyin: é, freq: 3782, HSK:+, struct:⿰)
84. 言＿自由 (pinyin: lùn, freq: 205, HSK:4, struct:⿰)
85. 刑事诉＿ (pinyin: sòng, freq: 1862, HSK:+, struct:⿰)
86. ＿刺的是 (pinyin: fěng, freq: 2322, HSK:+, struct:⿰)
87. 建＿工程 (pinyin: shè, freq: 302, HSK:5, struct:⿰)
88. 记者采＿ (pinyin: fǎng, freq: 1037, HSK:5, struct:⿰)
89. 成功秘＿ (pinyin: jué, freq: 2845, HSK:+, struct:⿰)
90. 保＿成功 (pinyin: zhèng, freq: 373, HSK:4, struct:⿰)
91. ＿估价值 (pinyin: píng, freq: 809, HSK:4, struct:⿰)
92. 女巫＿咒 (pinyin: zǔ, freq: 3171, HSK:n, struct:⿰)
93. 老马＿途 (pinyin: shí, freq: 340, HSK:1, struct:⿰)
94. ＿骗电话 (pinyin: zhà, freq: 2403, HSK:+, struct:⿰)
95. 别告＿他 (pinyin: sù, freq: 595, HSK:2, struct:⿰)
96. 医生＿断 (pinyin: zhěn, freq: 1401, HSK:5, struct:⿰)
97. ＿毁名誉 (pinyin: dǐ, freq: 4464, HSK:n, struct:⿰)
98. 胡＿乱扯 (pinyin: zhōu, freq: 4780, HSK:n, struct:⿰)
99. 常用＿汇 (pinyin: cí, freq: 959, HSK:2, struct:⿰)
100. 皇帝＿书 (pinyin: zhào, freq: 2684, HSK:n, struct:⿰)
