```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿＿逼人 (pinyin: duō, freq: 3325, HSK:n, struct:⿰)
33. ＿！好棒 (pinyin: wa, freq: 2433, HSK:6, struct:⿰)
34. ＿＿大笑 (pinyin: hā, freq: 713, HSK:5, struct:⿰)
35. 天何言＿ (pinyin: zāi, freq: 2758, HSK:n, struct:⿹)
36. 影＿力 (pinyin: xiǎng, freq: 503, HSK:3, struct:⿰)
37. ＿呀！ (pinyin: āi, freq: 2294, HSK:5, struct:⿰)
38. ＿当一声 (pinyin: kuāng, freq: 5013, HSK:n, struct:⿰)
39. ＿巴英语 (pinyin: yǎ, freq: 2368, HSK:+, struct:⿰)
40. 嘀嘀＿＿ (pinyin: dā, freq: 3741, HSK:n, struct:⿰)
41. ＿哩＿哩 (pinyin: Bī, freq: 5434, HSK:n, struct:⿰)
42. 大声喧＿ (pinyin: huá, freq: 2486, HSK:+, struct:⿰)
43. 嘟嘟＿＿ (pinyin: nóng, freq: 3581, HSK:n, struct:⿰)
44. 哎＿吗呀 (pinyin: yō, freq: 2524, HSK:n, struct:⿰)
45. ＿＿弟弟 (pinyin: gē, freq: 804, HSK:1, struct:⿱)
46. ＿，是你 (pinyin: ó, freq: 1913, HSK:5, struct:⿰)
47. ＿＿地笑 (pinyin: chī, freq: 3632, HSK:n, struct:⿰)
48. 吹口＿ (pinyin: shào, freq: 2383, HSK:+, struct:⿰)
49. 叽＿咕噜 (pinyin: lī, freq: 1949, HSK:n, struct:⿰)
50. 在＿里？ (pinyin: nǎ, freq: 652, HSK:1, struct:⿰)
51. 悲哀＿泣 (pinyin: kū, freq: 1210, HSK:3, struct:⿱)
52. 患有＿喘 (pinyin: xiào, freq: 2908, HSK:n, struct:⿰)
53. ＿学思想 (pinyin: zhé, freq: 1117, HSK:5, struct:⿱)
54. ＿乳动物 (pinyin: bǔ, freq: 2810, HSK:+, struct:⿰)
55. ＿着歌曲 (pinyin: hēng, freq: 1966, HSK:+, struct:⿰)
56. 声音＿咽 (pinyin: gěng, freq: 3694, HSK:+, struct:⿰)
57. 悼＿故人 (pinyin: yàn, freq: 4847, HSK:n, struct:⿰)
58. 教＿犯罪 (pinyin: suō, freq: 3654, HSK:+, struct:⿰)
59. 嘴＿干裂 (pinyin: chún, freq: 1880, HSK:+, struct:⿸)
60. ＿，完了 (pinyin: ài, freq: 2091, HSK:5, struct:⿰)
61. ＿嘘不已 (pinyin: xī, freq: 4453, HSK:n, struct:⿰)
62. ＿人街 (pinyin: Táng, freq: 973, HSK:+, struct:⿸)
63. “＿…” (pinyin: wú, freq: 3202, HSK:n, struct:⿰)
64. ＿叨不休 (pinyin: láo, freq: 3399, HSK:+, struct:⿰)
65. 呼风＿雨 (pinyin: huàn, freq: 1835, HSK:+, struct:⿰)
66. 吸管＿筒 (pinyin: jī, freq: 3757, HSK:n, struct:⿰)
67. 别吓＿他 (pinyin: hǔ, freq: 3161, HSK:+, struct:⿰)
68. ＿票处 (pinyin: shòu, freq: 1114, HSK:4, struct:⿱)
69. ＿一的人 (pinyin: wéi, freq: 1094, HSK:5, struct:⿰)
70. ＿＿作响 (pinyin: shuā, freq: 4471, HSK:n, struct:⿰)
71. 演＿会 (pinyin: chàng, freq: 1252, HSK:1, struct:⿰)
72. 分泌＿液 (pinyin: tuò, freq: 3040, HSK:+, struct:⿰)
73. 狗＿骨头 (pinyin: kěn, freq: 3345, HSK:+, struct:⿰)
74. ＿木鸟 (pinyin: zhuó, freq: 3449, HSK:n, struct:⿰)
75. ＿量＿量 (pinyin: shāng, freq: 402, HSK:1, struct:⿱)
76. 说＿说＿ (pinyin: a, freq: 753, HSK:2, struct:⿰)
77. ＿唾沫 (pinyin: cuì, freq: 4615, HSK:n, struct:⿰)
78. 嚎＿大哭 (pinyin: táo, freq: 4425, HSK:n, struct:⿰)
79. ＿泣哭泣 (pinyin: chuò, freq: 4008, HSK:n, struct:⿰)
80. 喝咖＿ (pinyin: fēi, freq: 2326, HSK:2, struct:⿰)
81. 喝杯＿酒 (pinyin: pí, freq: 2849, HSK:3, struct:⿰)
82. ＿问题？ (pinyin: shá, freq: 2082, HSK:n, struct:⿰)
83. 我走＿！ (pinyin: la, freq: 1194, HSK:6, struct:⿰)
84. ＿＿称奇 (pinyin: zé, freq: 3698, HSK:n, struct:⿰)
85. ＿啦＿啦 (pinyin: pā, freq: 2812, HSK:n, struct:⿰)
86. 吝＿鬼 (pinyin: sè, freq: 3860, HSK:+, struct:⿱)
87. ＿齿动物 (pinyin: niè, freq: 4400, HSK:n, struct:⿰)
88. 说话＿嗦 (pinyin: luō, freq: n, HSK:+, struct:⿰)
89. ＿当一声 (pinyin: lāng, freq: 4570, HSK:n, struct:⿰)
90. 呼＿而过 (pinyin: xiào, freq: 2301, HSK:+, struct:⿰)
91. 不＿天渊 (pinyin: chì, freq: 4249, HSK:n, struct:⿱)
92. ＿笑皆非 (pinyin: tí, freq: 2913, HSK:n, struct:⿰)
93. ＿＿鸟鸣 (pinyin: jiū, freq: 4081, HSK:n, struct:⿰)
94. ＿麦隆 (pinyin: Kā, freq: 2469, HSK:n, struct:⿰)
95. 禁止＿鸟 (pinyin: wèi, freq: 1988, HSK:1, struct:⿰)
96. ＿＿自语 (pinyin: nán, freq: 2233, HSK:n, struct:⿰)
97. 完＿自我 (pinyin: shàn, freq: 749, HSK:5, struct:⿱)
98. 鸣＿叭 (pinyin: lǎ, freq: 2677, HSK:+, struct:⿰)
99. 我＿咙痛 (pinyin: hóu, freq: 2096, HSK:+, struct:⿰)
100. 大＿大叫 (pinyin: hǎn, freq: 1183, HSK:4, struct:⿰)
