```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 门的＿锁 (pinyin: shuān, freq: 4110, HSK:n, struct:⿵)
59. ＿瓷工艺 (pinyin: táo, freq: 1601, HSK:+, struct:⿰)
60. ＿入困境 (pinyin: xiàn, freq: 1262, HSK:6, struct:⿰)
61. 一＿之地 (pinyin: yú, freq: 3387, HSK:n, struct:⿰)
62. ＿重开幕 (pinyin: lóng, freq: 1400, HSK:+, struct:⿰)
63. ＿朝杨坚 (pinyin: Suí, freq: 2828, HSK:n, struct:⿰)
64. ＿处可见 (pinyin: suí, freq: 498, HSK:4, struct:⿰)
65. ＿形眼镜 (pinyin: yǐn, freq: 1034, HSK:6, struct:⿰)
66. ＿离病房 (pinyin: gé, freq: 1319, HSK:5, struct:⿰)
67. 心胸狭＿ (pinyin: ài, freq: 3152, HSK:+, struct:⿰)
68. 地板缝＿ (pinyin: xì, freq: 2419, HSK:+, struct:⿰)
69. 一叶＿目 (pinyin: zhàng, freq: 1237, HSK:6, struct:⿰)
70. 地下＿道 (pinyin: suì, freq: 3342, HSK:+, struct:⿰)
71. 解放奴＿ (pinyin: lì, freq: 1801, HSK:+, struct:⿱)
72. 一只红＿ (pinyin: sǔn, freq: 4094, HSK:n, struct:⿱)
73. 意味＿永 (pinyin: juàn, freq: 4236, HSK:n, struct:⿱)
74. ＿以置信 (pinyin: nán, freq: 295, HSK:3, struct:⿰)
75. 鸦＿无声 (pinyin: què, freq: 2331, HSK:+, struct:⿱)
76. 大＿塔 (pinyin: yàn, freq: 2553, HSK:+, struct:⿸)
77. 雌＿鉴别 (pinyin: xióng, freq: 1054, HSK:6, struct:⿰)
78. 优＿气质 (pinyin: yǎ, freq: 1139, HSK:+, struct:⿰)
79. ＿中精神 (pinyin: jí, freq: 406, HSK:5, struct:⿱)
80. ＿佣兵 (pinyin: gù, freq: 1817, HSK:+, struct:⿸)
81. ＿性雄性 (pinyin: cí, freq: 2382, HSK:+, struct:⿰)
82. ＿和宫 (pinyin: Yōng, freq: 3327, HSK:n, struct:⿱)
83. ＿鸟破壳 (pinyin: chú, freq: 3484, HSK:n, struct:⿰)
84. 象牙＿刻 (pinyin: diāo, freq: 1829, HSK:+, struct:⿰)
85. ＿后春笋 (pinyin: yǔ, freq: 928, HSK:1, struct:⿻)
86. 白＿公主 (pinyin: xuě, freq: 1003, HSK:1, struct:⿱)
87. 晴天霹＿ (pinyin: lì, freq: 3550, HSK:n, struct:⿱)
88. ＿售价格 (pinyin: líng, freq: 1342, HSK:1, struct:⿱)
89. 打＿下雨 (pinyin: léi, freq: 686, HSK:6, struct:⿱)
90. 下冰＿ (pinyin: báo, freq: 4037, HSK:+, struct:⿱)
91. ＿霾天气 (pinyin: wù, freq: 1670, HSK:5, struct:⿱)
92. 必＿品 (pinyin: xū, freq: 408, HSK:3, struct:⿱)
93. 云＿飞车 (pinyin: xiāo, freq: 3129, HSK:n, struct:⿱)
94. 雷＿咆哮 (pinyin: tíng, freq: 2571, HSK:n, struct:⿱)
95. 令人＿惊 (pinyin: zhèn, freq: 1104, HSK:5, struct:⿱)
96. 真倒＿！ (pinyin: méi, freq: 2425, HSK:+, struct:⿱)
97. 挥＿浪费 (pinyin: huò, freq: 1442, HSK:+, struct:⿱)
98. ＿时之间 (pinyin: shà, freq: 3314, HSK:n, struct:⿱)
99. ＿虹灯 (pinyin: ní, freq: 3609, HSK:n, struct:⿱)
100. 普降甘＿ (pinyin: lín, freq: 3133, HSK:n, struct:⿱)
