```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 罂＿花 (pinyin: sù, freq: 2883, HSK:n, struct:⿱)
87. ＿丽风光 (pinyin: qǐ, freq: 3565, HSK:n, struct:⿰)
88. ＿闻女孩 (pinyin: fēi, freq: 3862, HSK:+, struct:⿰)
89. 昵称＿号 (pinyin: chuò, freq: 2930, HSK:+, struct:⿰)
90. 拉紧＿子 (pinyin: shéng, freq: 1983, HSK:+, struct:⿰)
91. 扫二＿码 (pinyin: wéi, freq: 520, HSK:5, struct:⿰)
92. 海＿宝宝 (pinyin: mián, freq: 2186, HSK:+, struct:⿰)
93. 奖章＿带 (pinyin: shòu, freq: 4098, HSK:n, struct:⿰)
94. 肌肉紧＿ (pinyin: bēng, freq: 2978, HSK:+, struct:⿰)
95. 丝＿之路 (pinyin: chóu, freq: 2635, HSK:+, struct:⿰)
96. 一＿头发 (pinyin: liǔ, freq: 4492, HSK:n, struct:⿰)
97. ＿上所述 (pinyin: zōng, freq: 1425, HSK:5, struct:⿰)
98. 花朵＿放 (pinyin: zhàn, freq: 3130, HSK:+, struct:⿰)
99. 红＿灯 (pinyin: lǜ, freq: 1088, HSK:2, struct:⿰)
100. 点＿其间 (pinyin: zhuì, freq: 3002, HSK:+, struct:⿰)
