```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 一如＿往 (pinyin: jì, freq: 724, HSK:4, struct:⿰)
80. ＿是皇帝 (pinyin: zhèn, freq: 3054, HSK:n, struct:⿰)
81. 开＿外向 (pinyin: lǎng, freq: 1276, HSK:6, struct:⿰)
82. 展＿未来 (pinyin: wàng, freq: 326, HSK:2, struct:⿱)
83. 中国＿代 (pinyin: cháo, freq: 593, HSK:5, struct:⿰)
84. 三国时＿ (pinyin: qī, freq: 253, HSK:1, struct:⿰)
85. ＿胧街灯 (pinyin: méng, freq: 2826, HSK:+, struct:⿰)
86. 一块＿板 (pinyin: mù, freq: 694, HSK:5, struct:⿻)
87. 展望＿来 (pinyin: wèi, freq: 385, HSK:5, struct:⿻)
88. 周＿愉快 (pinyin: mò, freq: 1164, HSK:3, struct:⿻)
89. 一＿书 (pinyin: běn, freq: 92, HSK:1, struct:⿻)
90. 读书＿记 (pinyin: zhá, freq: 3211, HSK:n, struct:⿰)
91. 艺＿家 (pinyin: shù, freq: 328, HSK:4, struct:⿺)
92. ＿红色 (pinyin: zhū, freq: 1120, HSK:+, struct:⿻)
93. 衣着＿素 (pinyin: pǔ, freq: 2092, HSK:6, struct:⿰)
94. 竖起耳＿ (pinyin: duǒ, freq: 1571, HSK:3, struct:⿱)
95. 手＿号码 (pinyin: jī, freq: 111, HSK:1, struct:⿰)
96. ＿木难雕 (pinyin: xiǔ, freq: 2544, HSK:+, struct:⿰)
97. ＿菌消毒 (pinyin: shā, freq: 587, HSK:6, struct:⿱)
98. 复＿问题 (pinyin: zá, freq: 853, HSK:4, struct:⿱)
99. 持有版＿ (pinyin: quán, freq: 297, HSK:5, struct:⿰)
100. 一根旗＿ (pinyin: gān, freq: 2011, HSK:+, struct:⿰)
