```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿＿不休 (pinyin: dié, freq: 3633, HSK:n, struct:⿰)
25. 蜜蜂＿＿ (pinyin: wēng, freq: 2783, HSK:n, struct:⿰)
26. 死后无＿ (pinyin: sì, freq: 2693, HSK:n, struct:⿰)
27. ＿之以鼻 (pinyin: chī, freq: 3254, HSK:n, struct:⿰)
28. 仰天＿叫 (pinyin: háo, freq: 4287, HSK:n, struct:⿰)
29. 直打哆＿ (pinyin: suo, freq: 3089, HSK:+, struct:⿰)
30. 招手说＿ (pinyin: hāi, freq: 3294, HSK:n, struct:⿰)
31. ＿嚅着 (pinyin: niè, freq: 4125, HSK:n, struct:⿰)
32. ＿，对啊 (pinyin: en, freq: 2042, HSK:4, struct:⿰)
33. ＿＿待哺 (pinyin: áo, freq: 4104, HSK:n, struct:⿰)
34. 整夜咳＿ (pinyin: sòu, freq: 2815, HSK:4, struct:⿰)
35. 小声＿咕 (pinyin: dí, freq: 3299, HSK:+, struct:⿰)
36. ＿＿喳喳 (pinyin: qī, freq: 4513, HSK:n, struct:⿰)
37. ＿杂街道 (pinyin: cáo, freq: 3446, HSK:+, struct:⿰)
38. 邀请＿宾 (pinyin: jiā, freq: 1845, HSK:5, struct:⿱)
39. ＿＿小姐 (pinyin: Gā, freq: 2852, HSK:n, struct:⿰)
40. 唏＿不已 (pinyin: xū, freq: 2973, HSK:n, struct:⿰)
41. 你在干＿ (pinyin: ma, freq: 1628, HSK:6, struct:⿰)
42. 好＿走吧 (pinyin: lei, freq: 5655, HSK:n, struct:⿰)
43. ＿＿囔囔 (pinyin: dū, freq: 2838, HSK:n, struct:⿰)
44. ＿＿爆炸 (pinyin: bēng, freq: 5034, HSK:n, struct:⿰)
45. ＿＿啜泣 (pinyin: yīng, freq: 4224, HSK:n, struct:⿰)
46. ＿＿碰头 (pinyin: pēng, freq: 4443, HSK:n, struct:⿰)
47. 他叮＿我 (pinyin: zhǔ, freq: 2156, HSK:+, struct:⿰)
48. 受人＿笑 (pinyin: cháo, freq: 2325, HSK:6, struct:⿰)
49. 给我闭＿ (pinyin: zuǐ, freq: 1010, HSK:3, struct:⿰)
50. 蛇：＿＿ (pinyin: sī, freq: 2776, HSK:n, struct:⿰)
51. 歌声＿亮 (pinyin: liáo, freq: 4643, HSK:n, struct:⿰)
52. ＿＿哈哈 (pinyin: xī, freq: 2432, HSK:n, struct:⿰)
53. ＿，哥们 (pinyin: hēi, freq: 2423, HSK:6, struct:⿰)
54. 因＿废食 (pinyin: yē, freq: 3961, HSK:n, struct:⿰)
55. ＿＿地跑 (pinyin: dēng, freq: 4726, HSK:n, struct:⿰)
56. ＿＿喷气 (pinyin: pū, freq: 3465, HSK:n, struct:⿰)
57. ＿着眼泪 (pinyin: qín, freq: 4599, HSK:n, struct:⿰)
58. 打呼＿ (pinyin: lū, freq: 3143, HSK:n, struct:⿰)
59. ＿，对了 (pinyin: ō, freq: 2347, HSK:n, struct:⿰)
60. ＿若寒蝉 (pinyin: jìn, freq: 4195, HSK:n, struct:⿰)
61. 放下武＿ (pinyin: qì, freq: 441, HSK:5, struct:⿳)
62. 做个＿梦 (pinyin: è, freq: 3408, HSK:+, struct:⿻)
63. 交通＿音 (pinyin: zào, freq: 2799, HSK:6, struct:⿰)
64. 被火吞＿ (pinyin: shì, freq: 3228, HSK:n, struct:⿰)
65. ＿里啪啦 (pinyin: pī, freq: 4309, HSK:n, struct:⿰)
66. 嗫＿不言 (pinyin: rú, freq: 4156, HSK:n, struct:⿰)
67. 狼在＿叫 (pinyin: háo, freq: 3241, HSK:n, struct:⿰)
68. 打喷＿ (pinyin: tì, freq: 3897, HSK:+, struct:⿰)
69. 咔＿作响 (pinyin: chā, freq: 3600, HSK:n, struct:⿰)
70. 拥挤喧＿ (pinyin: xiāo, freq: 2982, HSK:+, struct:⿳)
71. 冲我叫＿ (pinyin: rǎng, freq: 2256, HSK:+, struct:⿰)
72. 咀＿食物 (pinyin: jué, freq: 2731, HSK:+, struct:⿰)
73. 鱼油胶＿ (pinyin: náng, freq: 2041, HSK:+, struct:⿳)
74. 嘟＿着 (pinyin: nāng, freq: 4082, HSK:n, struct:⿰)
75. ＿犯逃跑 (pinyin: qiú, freq: 2594, HSK:+, struct:⿴)
76. ＿川省 (pinyin: Sì, freq: 226, HSK:1, struct:⿴)
77. 春节＿家 (pinyin: huí, freq: 172, HSK:1, struct:⿴)
78. ＿果关系 (pinyin: yīn, freq: 96, HSK:2, struct:⿴)
79. ＿队合作 (pinyin: tuán, freq: 405, HSK:5, struct:⿴)
80. ＿粮过冬 (pinyin: tún, freq: 4543, HSK:n, struct:⿴)
81. ＿囵吞枣 (pinyin: hú, freq: 5108, HSK:n, struct:⿴)
82. 动物＿ (pinyin: yuán, freq: 988, HSK:3, struct:⿴)
83. 克服＿难 (pinyin: kùn, freq: 868, HSK:4, struct:⿴)
84. 烟＿冒烟 (pinyin: cōng, freq: 3555, HSK:+, struct:⿴)
85. 职责范＿ (pinyin: wéi, freq: 576, HSK:4, struct:⿴)
86. 囫＿吞枣 (pinyin: lún, freq: 5249, HSK:n, struct:⿴)
87. ＿定搭配 (pinyin: gù, freq: 893, HSK:5, struct:⿴)
88. 中＿人 (pinyin: guó, freq: 20, HSK:1, struct:⿴)
89. ＿书馆 (pinyin: tú, freq: 476, HSK:3, struct:⿴)
90. 菊花苗＿ (pinyin: pǔ, freq: 3472, HSK:n, struct:⿴)
91. ＿形硬币 (pinyin: yuán, freq: 1145, HSK:5, struct:⿴)
92. 绕了一＿ (pinyin: quān, freq: 1366, HSK:6, struct:⿴)
93. ＿丘祭天 (pinyin: huán, freq: 5244, HSK:n, struct:⿴)
94. 一片＿地 (pinyin: tǔ, freq: 515, HSK:4, struct:⿱)
95. ＿诞节 (pinyin: shèng, freq: 960, HSK:+, struct:⿱)
96. 他＿家里 (pinyin: zài, freq: 6, HSK:1, struct:⿸)
97. 乌拉＿ (pinyin: guī, freq: 3537, HSK:n, struct:⿱)
98. 什么＿方 (pinyin: dì, freq: 21, HSK:2, struct:⿰)
99. 深＿市 (pinyin: zhèn, freq: 2137, HSK:n, struct:⿰)
100. 国际机＿ (pinyin: chǎng, freq: 249, HSK:2, struct:⿰)
