```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 不＿＿是 (pinyin: jǐn, freq: 494, HSK:4, struct:⿰)
56. 不＿而且 (pinyin: dàn, freq: 95, HSK:2, struct:⿰)
57. 一＿老师 (pinyin: wèi, freq: 182, HSK:2, struct:⿰)
58. 降＿成本 (pinyin: dī, freq: 592, HSK:4, struct:⿰)
59. 长期居＿ (pinyin: zhù, freq: 309, HSK:1, struct:⿰)
60. 提供＿证 (pinyin: zuǒ, freq: 2081, HSK:n, struct:⿰)
61. 上帝保＿ (pinyin: yòu, freq: 2775, HSK:+, struct:⿰)
62. 身＿健康 (pinyin: tǐ, freq: 149, HSK:2, struct:⿰)
63. 如＿使用 (pinyin: hé, freq: 229, HSK:4, struct:⿰)
64. 业＿爱好 (pinyin: yú, freq: 729, HSK:5, struct:⿱)
65. ＿教寺庙 (pinyin: Fó, freq: 771, HSK:5, struct:⿰)
66. 找份工＿ (pinyin: zuò, freq: 49, HSK:1, struct:⿰)
67. ＿偻病 (pinyin: gōu, freq: 5065, HSK:n, struct:⿰)
68. ＿大为 (pinyin: Tóng, freq: 3180, HSK:n, struct:⿰)
69. 我爱＿ (pinyin: nǐ, freq: 32, HSK:1, struct:⿰)
70. 雇＿工人 (pinyin: yōng, freq: 2546, HSK:+, struct:⿰)
71. 我＿服她 (pinyin: pèi, freq: 1507, HSK:6, struct:⿰)
72. 金融大＿ (pinyin: lǎo, freq: 3323, HSK:n, struct:⿰)
73. ＿装无事 (pinyin: yáng, freq: 3393, HSK:n, struct:⿰)
74. 壹＿美元 (pinyin: bǎi, freq: 5437, HSK:n, struct:⿰)
75. 最＿时间 (pinyin: jiā, freq: 1583, HSK:5, struct:⿰)
76. 轻＿浮躁 (pinyin: tiāo, freq: 5161, HSK:n, struct:⿰)
77. ＿＿不群 (pinyin: jiǎo, freq: 3993, HSK:n, struct:⿰)
78. 充分＿用 (pinyin: shǐ, freq: 119, HSK:4, struct:⿰)
79. ＿＿而谈 (pinyin: kǎn, freq: 3315, HSK:+, struct:⿰)
80. ＿子＿女 (pinyin: zhí, freq: 2664, HSK:6, struct:⿰)
81. 奢＿品 (pinyin: chǐ, freq: 3081, HSK:+, struct:⿰)
82. 举个＿子 (pinyin: lì, freq: 547, HSK:4, struct:⿰)
83. 皇家＿卫 (pinyin: shì, freq: 1871, HSK:+, struct:⿰)
84. 身矮＿儒 (pinyin: zhū, freq: 3674, HSK:n, struct:⿰)
85. ＿族民歌 (pinyin: Dòng, freq: 4406, HSK:n, struct:⿰)
86. ＿不应求 (pinyin: gōng, freq: 550, HSK:4, struct:⿰)
87. ＿我看 (pinyin: yī, freq: 568, HSK:5, struct:⿰)
88. 钢铁＿ (pinyin: xiá, freq: 1216, HSK:+, struct:⿰)
89. 同居伴＿ (pinyin: lǚ, freq: 2661, HSK:+, struct:⿰)
90. ＿幸成功 (pinyin: jiǎo, freq: 3359, HSK:+, struct:⿰)
91. ＿探小说 (pinyin: zhēn, freq: 1479, HSK:+, struct:⿰)
92. 右＿车道 (pinyin: cè, freq: 1220, HSK:6, struct:⿰)
93. 海外华＿ (pinyin: qiáo, freq: 2340, HSK:+, struct:⿰)
94. ＿辱别人 (pinyin: wǔ, freq: 2621, HSK:+, struct:⿰)
95. 诸＿国 (pinyin: hóu, freq: 1756, HSK:n, struct:⿰)
96. ＿犯版权 (pinyin: qīn, freq: 1086, HSK:+, struct:⿰)
97. 方＿面 (pinyin: biàn, freq: 271, HSK:1, struct:⿰)
98. ＿进健康 (pinyin: cù, freq: 1102, HSK:5, struct:⿰)
99. ＿罗斯 (pinyin: É, freq: 975, HSK:n, struct:⿰)
100. 英＿少年 (pinyin: jùn, freq: 1847, HSK:+, struct:⿰)
