```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 垃＿桶 (pinyin: jī, freq: 2634, HSK:4, struct:⿰)
30. 围攻堡＿ (pinyin: lěi, freq: 2417, HSK:+, struct:⿱)
31. 稻草＿ (pinyin: duò, freq: 4009, HSK:n, struct:⿰)
32. 无＿之海 (pinyin: yín, freq: 4331, HSK:n, struct:⿰)
33. 清除污＿ (pinyin: gòu, freq: 3284, HSK:n, struct:⿰)
34. 宫殿墙＿ (pinyin: yuán, freq: 2948, HSK:n, struct:⿰)
35. 开＿荒地 (pinyin: kěn, freq: 3038, HSK:+, struct:⿱)
36. 鼠标＿ (pinyin: diàn, freq: 2597, HSK:+, struct:⿱)
37. 打＿敌人 (pinyin: kuǎ, freq: 2674, HSK:+, struct:⿰)
38. 田＿小道 (pinyin: gěng, freq: 4239, HSK:n, struct:⿰)
39. 古＿及 (pinyin: Āi, freq: 1121, HSK:n, struct:⿰)
40. 设下＿伏 (pinyin: mái, freq: 1640, HSK:6, struct:⿰)
41. 那座＿市 (pinyin: chéng, freq: 413, HSK:3, struct:⿰)
42. 柬＿寨 (pinyin: pǔ, freq: 3124, HSK:n, struct:⿰)
43. 商业区＿ (pinyin: yù, freq: 847, HSK:5, struct:⿰)
44. 船到＿头 (pinyin: bù, freq: 3443, HSK:n, struct:⿰)
45. ＿养人才 (pinyin: péi, freq: 1152, HSK:5, struct:⿰)
46. ＿本知识 (pinyin: jī, freq: 280, HSK:4, struct:⿱)
47. 基督教＿ (pinyin: táng, freq: 980, HSK:4, struct:⿱)
48. ＿满了书 (pinyin: duī, freq: 1370, HSK:5, struct:⿰)
49. 三色＿ (pinyin: jǐn, freq: 5758, HSK:n, struct:⿱)
50. 长江天＿ (pinyin: qiàn, freq: 3420, HSK:n, struct:⿱)
51. 腐败＿落 (pinyin: duò, freq: 2666, HSK:+, struct:⿱)
52. 参观城＿ (pinyin: bǎo, freq: 1521, HSK:+, struct:⿱)
53. 防洪＿坝 (pinyin: dī, freq: 2464, HSK:+, struct:⿰)
54. 疲惫不＿ (pinyin: kān, freq: 1811, HSK:+, struct:⿰)
55. 堤＿防水 (pinyin: yàn, freq: 3486, HSK:n, struct:⿰)
56. 交通很＿ (pinyin: dǔ, freq: 2284, HSK:4, struct:⿰)
57. 房屋倒＿ (pinyin: tā, freq: 2465, HSK:+, struct:⿰)
58. ＿料袋 (pinyin: sù, freq: 2038, HSK:4, struct:⿱)
59. 金字＿ (pinyin: tǎ, freq: 1030, HSK:6, struct:⿰)
60. 池＿不深 (pinyin: táng, freq: 2436, HSK:+, struct:⿰)
61. 交通堵＿ (pinyin: sè, freq: 1080, HSK:6, struct:⿱)
62. ＿表格 (pinyin: tián, freq: 1970, HSK:4, struct:⿰)
63. 私＿老师 (pinyin: shú, freq: 3867, HSK:n, struct:⿱)
64. 保护环＿ (pinyin: jìng, freq: 582, HSK:3, struct:⿰)
65. 这栋别＿ (pinyin: shù, freq: 2901, HSK:+, struct:⿱)
66. 自掘坟＿ (pinyin: mù, freq: 1816, HSK:+, struct:⿱)
67. 粉刷＿壁 (pinyin: qiáng, freq: 1212, HSK:5, struct:⿰)
68. 与日俱＿ (pinyin: zēng, freq: 446, HSK:4, struct:⿰)
69. 一片废＿ (pinyin: xū, freq: 2958, HSK:+, struct:⿰)
70. ＿水很黑 (pinyin: mò, freq: 1493, HSK:+, struct:⿱)
71. 桥＿间隔 (pinyin: dūn, freq: 3553, HSK:n, struct:⿰)
72. 隔＿邻居 (pinyin: bì, freq: 1380, HSK:6, struct:⿱)
73. 山河沟＿ (pinyin: hè, freq: 3880, HSK:n, struct:⿱)
74. 挖战＿ (pinyin: háo, freq: 3077, HSK:n, struct:⿰)
75. 天＿之别 (pinyin: rǎng, freq: 2412, HSK:6, struct:⿰)
76. 博＿学位 (pinyin: shì, freq: 372, HSK:1, struct:⿱)
77. 庚辛＿癸 (pinyin: rén, freq: 4029, HSK:n, struct:⿱)
78. 强＿身体 (pinyin: zhuàng, freq: 1432, HSK:6, struct:⿰)
79. 发出＿音 (pinyin: shēng, freq: 195, HSK:3, struct:⿱)
80. 捡贝＿ (pinyin: ké, freq: 1937, HSK:+, struct:⿱)
81. 茶＿把手 (pinyin: hú, freq: 2518, HSK:6, struct:⿳)
82. ＿贰叁肆 (pinyin: yī, freq: 4652, HSK:n, struct:⿳)
83. 大有好＿ (pinyin: chù, freq: 206, HSK:3, struct:⿺)
84. 准＿好了 (pinyin: bèi, freq: 397, HSK:2, struct:⿱)
85. 恢＿正常 (pinyin: fù, freq: 426, HSK:3, struct:⿳)
86. ＿天很热 (pinyin: xià, freq: 1126, HSK:3, struct:⿳)
87. 朝＿相处 (pinyin: xī, freq: 2003, HSK:5, struct:⿴)
88. 对＿汉语 (pinyin: wài, freq: 131, HSK:1, struct:⿰)
89. ＿兴夜寐 (pinyin: sù, freq: 4303, HSK:n, struct:⿵)
90. 大＿数人 (pinyin: duō, freq: 61, HSK:1, struct:⿱)
91. 一昼一＿ (pinyin: yè, freq: 665, HSK:4, struct:⿱)
92. 足＿时间 (pinyin: gòu, freq: 538, HSK:4, struct:⿰)
93. ＿家好 (pinyin: dà, freq: 17, HSK:1, struct:⿻)
94. 杞人忧＿ (pinyin: tiān, freq: 78, HSK:1, struct:⿱)
95. ＿过分了 (pinyin: tài, freq: 240, HSK:1, struct:⿵)
96. ＿唱妇随 (pinyin: fū, freq: 377, HSK:2, struct:⿻)
97. 中途＿折 (pinyin: yāo, freq: 3079, HSK:n, struct:⿱)
98. 中＿公园 (pinyin: yāng, freq: 800, HSK:6, struct:⿻)
99. ＿实泥土 (pinyin: hāng, freq: 4574, HSK:+, struct:⿱)
100. 塞翁＿马 (pinyin: shī, freq: 375, HSK:4, struct:⿻)
